TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
PALE RIDER,2007-03-20,France 3,Etats-Unis,5.1012,20.5,Tuesday,non
LE CLAN DES SICILIENS,2007-05-01,France 3,France,4.98784,20.7,Tuesday,non
LE FABULEUX DESTIN D'AMÉLIE POULAIN,2007-04-03,France 3,France / DE,4.98784,21.4,Tuesday,non
MISSISSIPI BURNING,2007-06-17,Arte,Etats-Unis,2.15384,9.1,Sunday,non
LES AVENTURIERS,2007-03-04,Arte,France / Italie,2.09716,8.1,Sunday,non
JE SUIS UN AVENTURIER,2007-02-04,Arte,Etats-Unis,1.9838,7.4,Sunday,non
FIST OF LEGEND,2007-08-30,Arte,CN,1.92712,8.4,Thursday,oui
CASINO,2007-03-25,Arte,Etats-Unis,1.92712,8.5,Sunday,non
TAIS-TOI,2007-01-28,TF1,France / Italie,10.59916,39.4,Sunday,non
LA RECRUE,2007-01-21,TF1,Etats-Unis,9.80564,38.4,Sunday,non
SEUL AU MONDE,2007-02-25,TF1,Etats-Unis,9.74896,40.5,Sunday,oui
LE DÎNER DE CONS,2007-01-09,TF1,France,9.69228,36.7,Tuesday,non
ON A RETROUVÉ LA 7E COMPAGNIE,2007-07-31,TF1,France,9.57892,45.3,Tuesday,oui
SISTER ACT,2007-06-17,M6,Etats-Unis,6.2348,26.1,Sunday,non
MEN IN BLACK II,2007-09-10,M6,Etats-Unis,5.1012,21.2,Monday,non
MEN IN BLACK ,2007-09-03,M6,Etats-Unis,4.59108,18.1,Monday,oui
GARFIELD LE FILM,2007-12-27,M6,Etats-Unis,4.47772,18.2,Thursday,oui
LE CERVEAU,2007-04-22,M6,France / Italie,4.42104,18.1,Sunday,oui
CAMPING,2008-10-26,France 2,France,8.24328,31.4,Sunday,oui
JE VOUS TROUVE TRÈS BEAU,2008-09-28,France 2,France,6.354195,25.0,Sunday,non
CHARLIE ET LA CHOCOLATERIE,2008-12-28,France 2,Royaume-Uni,6.29695,24.2,Sunday,oui
LES TONTONS FLINGUEURS,2008-01-06,France 2,France / Italie / DE,6.18246,24.1,Sunday,oui
LES CHORISTES,2008-02-17,France 2,France / CH,5.83899,22.0,Sunday,oui
LA FLEUR DU MAL,2008-02-26,France 3,France,4.980315,19.6,Tuesday,non
SPEED,2008-03-04,France 3,Etats-Unis,4.92307,19.3,Tuesday,non
"MASTER AND COMMANDER, DE L'AUTRE CÔTÉ DU MONDE",2008-01-01,France 3,Etats-Unis,4.636845,19.9,Tuesday,oui
RIEN NE VA PLUS,2008-04-08,France 3,France / CH,4.46511,18.4,Tuesday,non
LES INCORRUPTIBLES,2008-09-23,France 3,Etats-Unis,4.407865,19.1,Tuesday,non
LE JOURNAL D'UNE FEMME DE CHAMBRE,2008-01-27,Arte,France / Italie,2.003575,8.0,Sunday,non
LES AVENTURES DE ROBIN DES BOIS,2008-12-29,Arte,Etats-Unis,1.94633,7.6,Monday,oui
LA MARIÉE ÉTAIT EN NOIR,2008-01-28,Arte,France / Italie,1.889085,7.7,Monday,non
JEREMIAH JOHNSON,2008-07-06,Arte,Etats-Unis,1.83184,8.1,Sunday,oui
LE VIEIL HOMME ET L'ENFANT,2008-08-18,Arte,France,1.660105,8.3,Monday,oui
"LES BRONZÉS 3, AMIS POUR LA VIE",2008-09-09,TF1,France,11.22002,47.4,Tuesday,non
LES BRONZÉS FONT DU SKI,2008-12-21,TF1,France,10.475835,37.0,Sunday,oui
ASTÉRIX ET OBÉLIX CONTRE CÉSAR,2008-01-29,TF1,France / DE / Italie,10.132365,39.7,Tuesday,non
LA LÉGENDE DE ZORRO,2008-11-10,TF1,Etats-Unis,8.81573,35.3,Monday,non
BENJAMIN GATES ET LE TRÉSOR DES TEMPLIERS,2008-02-12,TF1,Etats-Unis,8.70124,36.0,Tuesday,oui
INDIANA JONES ET LA DERNIÈRE CROISADE,2008-05-12,M6,Etats-Unis,5.896235,24.4,Monday,non
LES AVENTURIERS DE L'ARCHE PERDUE,2008-04-28,M6,Etats-Unis,5.781745,23.9,Monday,oui
INDIANA JONES ET LE TEMPLE MAUDIT,2008-05-05,M6,Etats-Unis,4.92307,20.0,Monday,non
LES 4 FANTASTIQUES,2008-10-27,M6,Etats-Unis,4.80858,17.4,Monday,oui
JURASSIC PARK,2008-02-18,M6,Etats-Unis,4.46511,17.4,Monday,oui
HOME,2009-06-05,France 2,France,8.3083,33.0,Friday,non
CASINO ROYALE,2009-12-06,France 2,Royaume-Uni,5.9262,22.8,Sunday,non
SAINT JACQUES… LA MECQUE,2009-03-08,France 2,France,5.8681,22.5,Sunday,non
LA FOLIE DES GRANDEURS,2009-12-27,France 2,France/Espagne/Italie,5.4033,21.9,Sunday,oui
UN CRIME AU PARADIS,2009-01-11,France 2,France,5.4033,19.5,Sunday,non
"JE VAIS BIEN, NE T'EN FAIS PAS",2009-04-28,France 3,France,5.3452,20.2,Tuesday,non
DANSE AVEC LES LOUPS,2009-04-21,France 3,Etats-Unis,4.7642,21.8,Tuesday,oui
LE PASSAGER DE L'ÉTÉ,2009-02-03,France 3,France,4.2994,15.8,Tuesday,non
CRÉANCE DE SANG,2009-10-22,France 3,Etats-Unis,4.2413,16.8,Thursday,oui
LE TATOUÉ,2009-12-21,France 3,France/Italie,4.1832,14.7,Monday,oui
LE DEUXIÈME SOUFFLE,2009-08-17,Arte,France,1.8011,10.3,Monday,oui
UN MONDE PARFAIT,2009-10-05,Arte,Etats-Unis,1.6268,6.5,Monday,non
DERNIER DOMICILE CONNU,2009-08-03,Arte,France/Italie,1.5687,7.2,Monday,oui
