TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
JURASSIC PARK 3,2016-04-28,TF1 Séries Films,Etats-Unis,0.985558,3.9,Thursday,non
LA VENGEANCE DANS LA PEAU,2016-04-24,TF1 Séries Films,Royaume-Uni,0.86961,3.5,Sunday,oui
JURASSIC PARK,2016-04-14,TF1 Séries Films,Etats-Unis,0.811636,3.3,Thursday,oui
L'IMMORTEL,2016-06-30,TF1 Séries Films,France,0.811636,3.4,Thursday,non
LA LIGNE VERTE,2016-06-02,TF1 Séries Films,Etats-Unis,0.811636,3.9,Thursday,non
PEUR SUR LA VILLE,2016-08-02,TF1 Séries Films,France / Italie,0.811636,3.8,Tuesday,oui
LA MORT DANS LA PEAU,2016-04-03,TF1 Séries Films,Etats-Unis,0.753662,2.9,Sunday,non
MON BEAU-PERE ET NOUS,2016-09-25,TF1 Séries Films,Etats-Unis,0.753662,3.2,Sunday,non
VERY BAD TRIP 2,2016-01-28,TF1 Séries Films,Etats-Unis,0.753662,2.9,Thursday,non
MENSONGES D'ETAT,2016-11-20,TF1 Séries Films,Etats-Unis,0.753662,2.9,Sunday,non
SLEEPERS,2016-01-03,NRJ12,Etats-Unis,1.15948,4.8,Sunday,oui
DAYLIGHT,2016-01-26,NRJ12,Etats-Unis,0.927584,3.8,Tuesday,non
RESCUE DAWN,2016-01-12,NRJ12,Etats-Unis,0.86961,3.5,Tuesday,non
JEUX DE GUERRE,2016-02-23,NRJ12,Etats-Unis,0.811636,3.2,Tuesday,non
LE PIC DE DANTE,2016-12-06,NRJ12,Etats-Unis,0.811636,3.1,Tuesday,non
DANGER IMMEDIAT,2016-03-01,NRJ12,Etats-Unis,0.811636,3.4,Tuesday,non
CLIFFHANGER,2016-09-13,NRJ12,Etats-Unis,0.753662,3.2,Tuesday,non
VOL 93,2016-09-06,NRJ12,Royaume-Uni,0.753662,3.1,Tuesday,non
LES GOONIES,2016-12-20,NRJ12,Etats-Unis,0.753662,2.7,Tuesday,oui
PHENOMENE,2016-01-21,NRJ12,Etats-Unis,0.695688,3.1,Thursday,non
MEN IN BLACK 3,2016-05-17,TFX,Etats-Unis,1.73922,6.8,Tuesday,non
JURASSIC PARK III,2016-12-08,TFX,Etats-Unis,1.275428,5.2,Thursday,non
LA PROPOSITION,2016-03-13,TFX,Etats-Unis,1.217454,5.1,Sunday,non
THE ISLAND,2016-11-13,TFX,Etats-Unis,1.15948,4.8,Sunday,non
MEN IN BLACK II,2016-05-10,TFX,Etats-Unis,1.15948,4.6,Tuesday,non
HOTEL TRANSYLVANIE,2016-11-01,TFX,Etats-Unis,1.15948,4.1,Tuesday,oui
JURASSIC PARK,2016-12-01,TFX,Etats-Unis,1.15948,5.0,Thursday,non
LEON,2016-06-26,TFX,France,1.101506,4.8,Sunday,non
R.I.P.D. BRIGADE FANTOME,2016-05-31,TFX,Etats-Unis,1.101506,4.6,Tuesday,non
LE JOUR DE GLOIRE,2016-12-27,TFX,France / DE,1.101506,4.5,Tuesday,oui
MAMAN,2016-06-12,RMC Story,France,0.463792,1.8,Sunday,non
MAMAN,2016-10-16,RMC Story,France,0.405818,1.7,Sunday,non
CHERCHE FIANCE TOUS FRAIS PAYES,2016-03-01,RMC Story,France,0.405818,1.4,Tuesday,non
LE TEMPS DES PORTE-PLUMES,2016-05-22,RMC Story,France,0.347844,1.4,Sunday,non
LA MACHINE A EXPLORER LE TEMPS,2016-02-07,RMC Story,Etats-Unis,0.347844,1.2,Sunday,oui
AMOUR ET AMNESIE,2016-02-11,RMC Story,Etats-Unis,0.347844,1.3,Thursday,oui
GEORGE DE LA JUNGLE,2016-02-14,RMC Story,Etats-Unis,0.347844,1.2,Sunday,oui
DE BATTRE MON COEUR S'EST ARRETE,2016-05-29,RMC Story,France,0.347844,1.3,Sunday,non
UN CRIME DANS LA TETE,2016-01-14,RMC Story,Etats-Unis,0.28987,1.3,Thursday,non
RAISONS D'ETAT,2016-01-24,RMC Story,Etats-Unis,0.28987,1.4,Sunday,non
LES VISITEURS 2 : LES COULOIRS DU TEMPS,2016-04-14,TMC,France,2.260986,9.1,Thursday,oui
EXPENDABLES 2 : UNITE SPECIALE,2016-03-07,TMC,Etats-Unis,1.913142,7.0,Monday,non
LES PROFS,2016-02-16,TMC,France,1.73922,6.0,Tuesday,oui
"MOI, MOCHE ET MECHANT 2",2016-11-10,TMC,Etats-Unis,1.681246,6.8,Thursday,non
L'AGE DE GLACE,2016-02-15,TMC,Etats-Unis,1.507324,5.1,Monday,oui
CONTAGION,2016-01-18,TMC,Etats-Unis,1.507324,5.9,Monday,non
LES CROODS,2016-12-20,TMC,Etats-Unis,1.507324,5.4,Tuesday,oui
LE COLLECTIONNEUR,2016-02-01,TMC,Etats-Unis,1.44935,5.8,Monday,non
L'AGE DE GLACE 3 - LE TEMPS DES DINOSAURES,2016-02-22,TMC,Etats-Unis,1.44935,5.0,Monday,oui
L'ARME FATALE III,2016-12-19,TMC,Etats-Unis,1.44935,5.3,Monday,oui
EVASION,2016-11-28,W9,Etats-Unis,1.855168,7.3,Monday,non
PARKER,2016-01-11,W9,Etats-Unis,1.681246,6.5,Monday,non
IRON MAN 3,2016-04-04,W9,Etats-Unis,1.507324,5.9,Monday,non
UNE JOURNEE EN ENFER,2016-05-30,W9,Etats-Unis,1.507324,6.2,Monday,non
TAKEN 2,2016-11-14,W9,France,1.44935,5.4,Monday,non
LOOPER,2016-01-04,W9,Etats-Unis,1.391376,5.5,Monday,oui
KILLER ELITE,2016-01-18,W9,Etats-Unis,1.333402,5.2,Monday,non
"I, ROBOT",2016-12-05,W9,Etats-Unis,1.275428,5.1,Monday,non
LE PETIT NICOLAS,2016-04-19,W9,France / Belgique,1.275428,5.1,Tuesday,oui
RAIPONCE,2016-04-11,W9,Etats-Unis,1.217454,4.6,Monday,oui
QU'EST-CE QU'ON A FAIT AU BON DIEU ?,2016-11-27,TF1,France,10.841138,40.4,Sunday,non
LES TUCHE,2016-02-07,TF1,France,8.6961,31.8,Sunday,oui
EYJAFJALLAJOKULL,2016-04-24,TF1,France,7.53662,29.7,Sunday,oui
LES VISITEURS,2016-04-03,TF1,France,7.420672,29.3,Sunday,non
SUPERCONDRIAQUE,2016-10-09,TF1,France / Belgique,6.724984,27.0,Sunday,non
AVATAR,2016-03-27,TF1,Etats-Unis,6.493088,29.9,Sunday,non
BARBECUE,2016-09-04,TF1,France,6.37714,27.1,Sunday,oui
FLIGHT,2016-01-10,TF1,Etats-Unis,6.319166,26.9,Sunday,non
WHITE HOUSE DOWN,2016-05-22,TF1,Etats-Unis,6.37714,27.8,Sunday,non
AFTER EARTH,2016-04-17,TF1,Etats-Unis,6.319166,25.0,Sunday,oui
LA REINE DES NEIGES,2016-12-19,M6,Etats-Unis,6.551062,23.1,Monday,oui
MALEFIQUE,2016-10-27,M6,Etats-Unis / Royaume-Uni,4.232102,16.7,Thursday,oui
RATATOUILLE,2016-03-27,M6,Etats-Unis,4.05818,16.9,Sunday,non
FISTON,2016-02-09,M6,France,3.884258,14.6,Tuesday,oui
MINCE ALORS !,2016-05-30,M6,France,3.884258,15.5,Monday,non
INSAISISSABLES,2016-02-02,M6,Etats-Unis,3.536414,14.0,Tuesday,non
LE GENDARME DE SAINT-TROPEZ,2016-01-05,M6,France / Italie,3.420466,12.7,Tuesday,non
EVASION,2016-05-16,M6,Etats-Unis,3.47844,14.0,Monday,non
BRICE DE NICE,2016-10-20,M6,France,3.420466,13.9,Thursday,non
BIENVENUE A BORD,2016-06-06,M6,France,3.246544,13.7,Monday,non
LA FAMILLE BELIER,2017-04-30,France 2,France / Belgique,7.728896,29.6,Sunday,non
LA GRANDE VADROUILLE,2017-04-16,France 2,France / Royaume-Uni,6.334208,28.4,Sunday,oui
LES AVENTURES DE RABBI JACOB,2017-01-01,France 2,France / Italie,5.927424,22.4,Sunday,oui
GONE GIRL,2017-01-15,France 2,Etats-Unis,4.590848,19.0,Sunday,non
LA PREMIERE ETOILE,2017-12-10,France 2,France,4.125952,15.7,Sunday,non
THE IMPOSSIBLE,2017-11-26,France 2,Espagne,3.835392,14.3,Sunday,non
JEAN-PHILIPPE,2017-12-11,France 2,France,3.77728,14.2,Monday,non
AMOUR ET TURBULENCES,2017-07-02,France 2,France,3.661056,15.6,Sunday,non
HIPPOCRATE,2017-03-14,France 2,France,3.661056,14.6,Tuesday,non
LA FRENCH,2017-10-01,France 2,France / Belgique,3.544832,14.9,Sunday,non
LES RIVIERES POURPRES,2017-12-14,France 3,France,3.48672,14.6,Thursday,non
PIECE MONTEE,2017-10-19,France 3,France,3.19616,13.1,Thursday,non
LE GRAND BLOND AVEC UNE CHAUSSURE NOIRE,2017-08-31,France 3,France,3.021824,12.1,Thursday,oui
L'AILE OU LA CUISSE,2017-10-26,France 3,France,2.847488,11.8,Thursday,oui
PAS SON GENRE,2017-02-20,France 3,France / Belgique,2.789376,10.7,Monday,oui
LA SOUPE AUX CHOUX,2017-11-02,France 3,France,2.673152,10.5,Thursday,oui
LA CHEVRE,2017-07-10,France 3,France / MX,2.673152,11.4,Monday,oui
IMITATION GAME,2017-12-04,France 3,Royaume-Uni / Etats-Unis,2.556928,9.9,Monday,non
"SALAUD, ON T'AIME",2017-02-27,France 3,France,2.440704,9.8,Monday,oui
LA FAILLE,2017-04-06,France 3,Etats-Unis,2.382592,9.6,Thursday,non
INDEPENDENCE DAY,2017-07-05,France 4,Etats-Unis,1.917696,9.4,Wednesday,non
LA GUERRE DES MONDES,2017-01-24,France 4,Etats-Unis,1.278464,4.9,Tuesday,non
UN INDIEN DANS LA VILLE,2017-07-12,France 4,France,1.278464,5.9,Wednesday,oui
CAPTAIN AMERICA : FIRST AVENGER,2017-05-24,France 4,Etats-Unis,1.220352,5.3,Wednesday,non
SHREK LE TROISIEME,2017-04-19,France 4,Etats-Unis,1.16224,4.2,Wednesday,oui
PERMIS DE TUER,2017-11-22,France 4,Royaume-Uni,1.104128,5.0,Wednesday,non
LES DIAMANTS SONT ETERNELS,2017-11-08,France 4,Royaume-Uni,1.104128,4.4,Wednesday,non
MANON DES SOURCES,2017-07-30,France 4,France,1.104128,5.2,Sunday,oui
LE DERNIER MAITRE DE L'AIR,2017-08-20,France 4,Etats-Unis,1.046016,5.1,Sunday,oui
L'AGENCE TOUS RISQUES,2017-10-04,France 4,Etats-Unis,1.046016,4.6,Wednesday,non
LES MOISSONS DU CIEL,2017-04-03,France 5,Etats-Unis,1.74336,6.8,Monday,non
ASCENSEUR POUR L'ECHAFAUD,2017-08-01,France 5,France,1.220352,5.8,Tuesday,oui
LE CHAT,2017-10-16,France 5,France / Italie,1.220352,4.7,Monday,non
LES SEINS DE GLACE,2017-10-02,France 5,France / Italie,1.16224,4.5,Monday,non
QUE LA FETE COMMENCE,2017-05-15,France 5,France,1.104128,4.3,Monday,non
LE CRABE-TAMBOUR,2017-08-14,France 5,France,1.046016,5.5,Monday,oui
"MONTY PYTHON, SACRE GRAAL",2017-03-13,France 5,Royaume-Uni,1.046016,4.0,Monday,non
LES DEMOISELLES DE ROCHEFORT,2017-05-01,France 5,France,1.046016,4.0,Monday,non
LES SENTIERS DE LA GLOIRE,2017-10-30,France 5,Etats-Unis,0.987904,3.7,Monday,oui
LA 317 SECTION,2017-05-08,France 5,France / Espagne,0.929792,3.4,Monday,non
JAMES BOND CONTRE DOCTEUR NO,2017-01-16,France Ô,Royaume-Uni,0.755456,2.7,Monday,non
JAMAIS PLUS JAMAIS,2017-01-23,France Ô,Royaume-Uni / Etats-Unis,0.58112,2.3,Monday,non
MISSISSIPPI BURNING,2017-04-24,France Ô,Etats-Unis,0.58112,2.2,Monday,oui
LES DIEUX SONT TOMBES SUR LA TETE,2017-08-28,France Ô,ZA,0.523008,2.3,Monday,oui
SEPT VIES,2017-05-01,France Ô,Etats-Unis,0.464896,1.8,Monday,non
SHAFT,2017-10-09,France Ô,Etats-Unis,0.406784,1.6,Monday,non
L'HOMME AU PISTOLET D'OR,2017-01-30,France Ô,Royaume-Uni,0.406784,1.5,Monday,non
MOONRAKER,2017-02-06,France Ô,France / Royaume-Uni,0.406784,1.5,Monday,non
LE FILS DU FRANCAIS,2017-06-12,France Ô,France,0.348672,1.5,Monday,non
PARIS A TOUT PRIX,2017-03-20,France Ô,France,0.348672,1.4,Monday,non
LE DEUXIEME SOUFFLE,2017-11-27,Arte,France,2.150144,8.5,Monday,non
BLADE RUNNER,2017-10-08,Arte,Etats-Unis,1.975808,7.8,Sunday,non
UN HOMME DE TROP,2017-03-13,Arte,France / Italie,1.685248,6.7,Monday,non
LE CERCLE ROUGE,2017-11-26,Arte,France / Italie,1.627136,6.3,Sunday,non
L'INSPECTEUR HARRY,2017-07-02,Arte,Etats-Unis,1.627136,6.9,Sunday,non
COMPARTIMENT TUEURS,2017-03-15,Arte,France,1.627136,6.0,Wednesday,non
UNE FEMME DE MENAGE,2017-12-06,Arte,France,1.569024,6.6,Wednesday,non
L'AVENTURE C'EST L'AVENTURE,2017-01-09,Arte,France / Italie,1.569024,5.9,Monday,non
TOUCHEZ PAS AU GRISBI,2017-12-11,Arte,France / Italie,1.569024,5.8,Monday,non
EL DORADO,2017-09-10,Arte,Etats-Unis,1.569024,6.6,Sunday,non
"MAMAN, J'AI ENCORE RATE L'AVION",2017-12-03,6ter,Etats-Unis,0.929792,3.8,Sunday,non
GARFIELD 2,2017-08-08,6ter,Etats-Unis,0.87168,4.2,Tuesday,oui
BABY-SITTOR,2017-09-03,6ter,Etats-Unis,0.87168,3.5,Sunday,oui
X-MEN ORIGINS : WOLVERINE,2017-10-01,6ter,Etats-Unis,0.87168,3.4,Sunday,non
VOLCANO,2017-01-08,6ter,Etats-Unis,0.87168,3.2,Sunday,non
JUMANJI,2017-12-17,6ter,Etats-Unis,0.813568,3.1,Sunday,non
ASTERIX ET LA SURPRISE DE CESAR,2017-12-26,6ter,France,0.813568,3.1,Tuesday,oui
"MAMAN, J'AI RATE L'AVION",2017-11-26,6ter,Etats-Unis,0.755456,2.9,Sunday,non
LE MASQUE DE L'ARAIGNEE,2017-05-21,6ter,Etats-Unis,0.755456,3.2,Sunday,non
LE JOUR OU LA TERRE S'ARRETA,2017-01-15,6ter,Etats-Unis,0.755456,2.8,Sunday,non
BALADE ENTRE LES TOMBES,2017-05-08,C8,Etats-Unis,1.859584,7.3,Monday,non
JOHN WICK,2017-05-01,C8,Etats-Unis,1.801472,7.1,Monday,non
X-MEN ORIGINS : WOLVERINE,2017-02-07,C8,Etats-Unis,1.394688,5.9,Tuesday,non
HUNGER GAMES : L'EMBRASEMENT,2017-11-13,C8,Etats-Unis,1.336576,6.5,Monday,non
SEVEN,2017-01-30,C8,Etats-Unis,1.336576,5.9,Monday,non
HUNGER GAMES,2017-11-06,C8,Etats-Unis,1.220352,5.7,Monday,oui
HOMEFRONT,2017-04-10,C8,Etats-Unis,1.220352,5.1,Monday,oui
RAMBO III,2017-01-17,C8,Etats-Unis,1.220352,4.8,Tuesday,non
NINJA TURTLES,2017-02-27,C8,Etats-Unis,1.16224,4.9,Monday,oui
"RAMBO 2, LA MISSION",2017-01-09,C8,Etats-Unis,1.16224,4.6,Monday,non
PEUR PRIMALE,2017-12-07,Chérie 25,Etats-Unis,0.697344,3.0,Thursday,non
LES FEMMES DE L'OMBRE,2017-01-31,Chérie 25,France,0.58112,2.4,Tuesday,non
WILL HUNTING,2017-09-19,Chérie 25,Etats-Unis,0.58112,2.7,Tuesday,non
SOUS SURVEILLANCE,2017-02-16,Chérie 25,Etats-Unis,0.58112,2.6,Thursday,oui
COPLAND,2017-11-30,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non
GONE BABY GONE,2017-11-23,Chérie 25,Etats-Unis,0.58112,2.4,Thursday,non
MEURTRE PARFAIT,2017-04-27,Chérie 25,Etats-Unis,0.58112,2.4,Thursday,non
"ERIN BROCKOVICH, SEULE CONTRE TOUS",2017-11-02,Chérie 25,Etats-Unis,0.58112,2.5,Thursday,oui
PLUS JAMAIS,2017-01-26,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non
LE GRAND ALIBI,2017-12-11,Chérie 25,France / Italie,0.58112,2.1,Monday,non
SAFE,2017-05-04,CStar,Etats-Unis,0.929792,3.6,Thursday,non
LA BATAILLE DES ARDENNES,2017-10-26,CStar,Etats-Unis,0.813568,3.7,Thursday,oui
LE CONTRAT,2017-10-19,CStar,Etats-Unis,0.755456,3.2,Thursday,non
LE TREIZIEME GUERRIER,2017-09-21,CStar,Etats-Unis,0.755456,3.3,Thursday,non
STAR TREK,2017-11-30,CStar,Etats-Unis,0.755456,3.0,Thursday,non
LOCK OUT,2017-05-11,CStar,France,0.755456,2.9,Thursday,non
16 BLOCS,2017-11-09,CStar,Etats-Unis,0.697344,2.8,Thursday,non
L'AIGLE DE LA NEUVIEME LEGION,2017-02-02,CStar,Royaume-Uni,0.697344,2.8,Thursday,non
PINOT SIMPLE FLIC,2017-12-21,CStar,France,0.639232,2.8,Thursday,non
IDENTITE SECRETE,2017-11-16,CStar,Etats-Unis,0.639232,2.6,Thursday,non
GREMLINS 2,2017-10-29,Gulli,Etats-Unis,0.58112,2.5,Sunday,oui
GREMLINS,2017-10-22,Gulli,Etats-Unis,0.58112,2.2,Sunday,oui
LE POLE EXPRESS,2017-11-24,Gulli,Etats-Unis,0.523008,2.8,Friday,non
LE LORAX,2017-08-31,Gulli,Etats-Unis,0.523008,2.1,Thursday,oui
"BEE MOVIE, DROLE D'ABEILLE",2017-11-17,Gulli,Etats-Unis,0.523008,2.7,Friday,non
HOOK,2017-02-14,Gulli,Etats-Unis,0.523008,2.3,Tuesday,oui
LES QUATRE FILLES DU DOCTEUR MARCH,2017-12-26,Gulli,Etats-Unis,0.464896,2.0,Tuesday,oui
BEETLE JUICE,2017-11-28,Gulli,Etats-Unis,0.464896,1.8,Tuesday,non
PETER PAN,2017-12-15,Gulli,Etats-Unis,0.464896,2.5,Friday,non
MEGAMIND,2017-04-20,Gulli,Etats-Unis,0.464896,1.8,Thursday,oui
LE FUGITIF,2017-10-22,TF1 Séries Films,Etats-Unis,0.929792,3.7,Sunday,oui
THE DESCENDANTS,2017-02-12,TF1 Séries Films,Etats-Unis,0.87168,3.5,Sunday,oui
L'EXPERT,2017-02-07,TF1 Séries Films,Etats-Unis,0.87168,3.4,Tuesday,non
LE MONDE PERDU - JURASSIC PARK,2017-06-22,TF1 Séries Films,Etats-Unis,0.813568,3.8,Thursday,non
L'OEIL DU MAL,2017-01-31,TF1 Séries Films,Etats-Unis,0.813568,3.4,Tuesday,non
RETOUR VERS LE FUTUR 2,2017-05-21,TF1 Séries Films,Etats-Unis,0.813568,3.6,Sunday,non
VOL 93,2017-09-14,TF1 Séries Films,Royaume-Uni,0.813568,3.5,Thursday,non
LE PACTE DES LOUPS,2017-03-12,TF1 Séries Films,France,0.813568,3.7,Sunday,non
CHAOS,2017-11-23,TF1 Séries Films,Royaume-Uni,0.813568,3.1,Thursday,non
LE COLLECTIONNEUR,2017-03-05,TF1 Séries Films,Etats-Unis,0.813568,3.3,Sunday,non
PIEGE EN HAUTE MER,2017-04-25,NRJ12,Etats-Unis,0.929792,3.8,Tuesday,non
LA FUREUR DE VAINCRE,2017-05-02,NRJ12,Hong Kong,0.929792,3.5,Tuesday,non
LA FUREUR DU DRAGON,2017-05-09,NRJ12,Hong Kong,0.813568,3.3,Tuesday,non
CROCODILE DUNDEE 2,2017-02-16,NRJ12,AU,0.813568,3.5,Thursday,oui
CROCODILE DUNDEE,2017-02-09,NRJ12,AU,0.813568,3.5,Thursday,non
TRUE LIES - LE CAMELEON,2017-10-12,NRJ12,Etats-Unis,0.813568,3.9,Thursday,non
LES BRIGADES DU TIGRE,2017-08-01,NRJ12,France / Italie,0.813568,4.3,Tuesday,oui
BIG BOSS,2017-05-16,NRJ12,Hong Kong,0.813568,3.4,Tuesday,non
SOLEIL LEVANT,2017-02-07,NRJ12,Etats-Unis,0.813568,3.3,Tuesday,non
LES TROIS PROCHAINS JOURS,2017-03-28,NRJ12,Etats-Unis,0.813568,3.3,Tuesday,non
LA MORT DANS LA PEAU,2017-01-12,TFX,Etats-Unis,1.394688,5.6,Thursday,non
47 RONIN,2017-02-19,TFX,Etats-Unis,1.278464,5.1,Sunday,oui
LA VENGEANCE DANS LA PEAU,2017-01-19,TFX,Royaume-Uni,1.220352,4.7,Thursday,non
GLADIATOR,2017-05-04,TFX,Etats-Unis,1.104128,4.8,Thursday,non
RETOUR VERS LE FUTUR,2017-11-21,TFX,Etats-Unis,1.104128,4.3,Tuesday,non
TERMINATOR RENAISSANCE,2017-02-12,TFX,Etats-Unis,1.046016,4.2,Sunday,oui
LA MEMOIRE DANS LA PEAU,2017-01-05,TFX,Etats-Unis,1.046016,4.1,Thursday,non
NEXT,2017-05-21,TFX,Etats-Unis,1.046016,4.3,Sunday,non
LE GRAND RESTAURANT,2017-12-12,TFX,France,0.987904,3.9,Tuesday,non
LES SOUS-DOUES,2017-03-26,TFX,France,0.987904,3.9,Sunday,non
LE BAISER MORTEL DU DRAGON,2017-06-11,RMC Story,France,0.697344,3.2,Sunday,non
LE TEMOIN DU MAL,2017-07-09,RMC Story,Etats-Unis,0.406784,2.1,Sunday,oui
LE STRATEGE,2017-11-12,RMC Story,Etats-Unis,0.406784,1.6,Sunday,non
LA LIGNE ROUGE,2017-03-26,RMC Story,Etats-Unis,0.348672,1.7,Sunday,non
300,2017-09-24,RMC Story,Etats-Unis,0.348672,1.6,Sunday,non
DANS LA TOURMENTE,2017-02-19,RMC Story,France,0.348672,1.3,Sunday,oui
LA COULEUR POURPRE,2017-03-19,RMC Story,Etats-Unis,0.348672,1.5,Sunday,non
LE RETOUR DE MARTIN GUERRE,2017-07-30,RMC Story,France,0.348672,1.6,Sunday,oui
SUNSHINE,2017-08-13,RMC Story,Royaume-Uni,0.29056,1.6,Sunday,oui
HATCHI,2017-12-31,RMC Story,Etats-Unis,0.29056,1.8,Sunday,oui
ON A RETROUVE LA 7EME COMPAGNIE,2017-05-18,TMC,France,2.32448,9.5,Thursday,non
MAIS OU EST DONC PASSEE LA 7EME COMPAGNIE,2017-05-11,TMC,France / Italie,2.266368,9.2,Thursday,non
MEN IN BLACK 3,2017-05-22,TMC,Etats-Unis,2.092032,8.7,Monday,non
LA 7EME COMPAGNIE AU CLAIR DE LUNE,2017-05-25,TMC,France,2.092032,9.6,Thursday,non
LA MORT DANS LA PEAU,2017-12-18,TMC,Etats-Unis,1.74336,7.4,Monday,non
BARBECUE,2017-05-04,TMC,France,1.685248,6.8,Thursday,non
L'AGENCE TOUS RISQUES,2017-01-30,TMC,Etats-Unis,1.569024,6.4,Monday,non
LES GARDIENS DE LA GALAXIE,2017-10-30,TMC,Etats-Unis,1.510912,6.4,Monday,oui
BABYSITTING,2017-02-20,TMC,France,1.510912,5.7,Monday,oui
MEN IN BLACK,2017-05-08,TMC,Etats-Unis,1.510912,6.0,Monday,non
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2017-11-27,W9,Etats-Unis,2.208256,8.6,Monday,non
INDIANA JONES ET LA DERNIERE CROISADE,2017-11-20,W9,Etats-Unis,1.801472,7.3,Monday,non
IRON MAN,2017-01-17,W9,Etats-Unis,1.627136,6.3,Tuesday,non
DIVERGENTE,2017-03-27,W9,Etats-Unis,1.627136,7.2,Monday,non
SISTER ACT,2017-04-17,W9,Etats-Unis,1.4528,5.8,Monday,oui
NE LE DIS A PERSONNE,2017-02-13,W9,France,1.4528,6.3,Monday,oui
LES AVENTURIERS DE L'ARCHE PERDUE,2017-11-06,W9,Etats-Unis,1.394688,5.4,Monday,oui
UNE JOURNEE EN ENFER,2017-09-25,W9,Etats-Unis,1.394688,5.8,Monday,non
"SISTER ACT, ACTE 2",2017-04-24,W9,Etats-Unis,1.394688,5.5,Monday,oui
PRETTY WOMAN,2017-01-24,W9,Etats-Unis,1.336576,5.3,Tuesday,non
BIENVENUE CHEZ LES CH'TIS,2017-01-22,TF1,France,8.774912,34.3,Sunday,non
LES BRONZES FONT DU SKI,2017-02-12,TF1,France,8.019456,30.6,Sunday,oui
INTOUCHABLES,2017-05-14,TF1,France,7.961344,32.4,Sunday,non
LUCY,2017-03-26,TF1,France,7.961344,31.1,Sunday,non
SAN ANDREAS,2017-11-19,TF1,Etats-Unis,6.740992,27.5,Sunday,non
SAMBA,2017-03-19,TF1,France,6.159872,25.7,Sunday,non
ASTERIX ET OBELIX : MISSION CLEOPATRE,2017-10-24,TF1,France,6.10176,24.0,Tuesday,oui
SPY,2017-12-17,TF1,Etats-Unis,6.043648,24.3,Sunday,non
LES GARDIENS DE LA GALAXIE,2017-04-30,TF1,Etats-Unis,5.869312,23.6,Sunday,non
ROBIN DES BOIS,2017-01-08,TF1,Royaume-Uni,5.8112,24.6,Sunday,non
PAPA OU MAMAN,2017-06-05,M6,France,4.184064,16.3,Monday,non
ASTERIX : LE DOMAINE DES DIEUX,2017-10-30,M6,France / Belgique,4.125952,15.5,Monday,oui
KINGSMAN : SERVICES SECRETS,2017-10-05,M6,Etats-Unis / Royaume-Uni,3.951616,18.0,Thursday,non
INDIANA JONES ET LE TEMPLE MAUDIT,2017-02-20,M6,Etats-Unis,3.719168,15.3,Monday,oui
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2017-03-06,M6,Etats-Unis,3.661056,16.3,Monday,non
LES AVENTURIERS DE L'ARCHE PERDUE,2017-02-13,M6,Etats-Unis,3.661056,15.5,Monday,oui
LE PRENOM,2017-01-16,M6,France,3.661056,14.3,Monday,non
INDIANA JONES ET LA DERNIERE CROISADE,2017-02-27,M6,Etats-Unis,3.544832,15.4,Monday,oui
LES VACANCES DU PETIT NICOLAS,2017-08-29,M6,France,3.370496,15.3,Tuesday,oui
TAKEN 3,2017-06-08,M6,France,3.254272,14.0,Thursday,non
RAID DINGUE,2017-12-29,Canal +,France,1.975808,8.0,Friday,oui
RADIN,2017-09-01,Canal +,France,1.278464,5.1,Friday,oui
CAMPING 3,2017-05-05,Canal +,France,1.16224,4.3,Friday,non
JACK REACHER : NEVER GO BACK,2017-09-02,Canal +,Etats-Unis,0.987904,4.8,Saturday,oui
ROGUE ONE : A STAR WARS STORY,2017-12-22,Canal +,Etats-Unis,0.987904,4.3,Friday,non
IL A DEJA TES YEUX,2017-12-15,Canal +,France,0.813568,3.2,Friday,non
L'ASCENSION,2017-12-27,Canal +,France,0.813568,3.4,Wednesday,oui
DEADPOOL,2017-01-06,Canal +,Etats-Unis,0.813568,3.2,Friday,non
TARZAN,2017-05-12,Canal +,Royaume-Uni,0.755456,3.0,Friday,non
LES SEPT MERCENAIRES,2017-09-15,Canal +,Etats-Unis,0.697344,3.0,Friday,non
L'ETUDIANTE ET MONSIEUR HENRI,2018-02-25,France 2,France,4.416512,17.2,Sunday,oui
SKYFALL,2018-10-21,France 2,Europe,4.143844,18.4,Sunday,oui
CONTAGION,2018-01-21,France 2,Etats-Unis,4.06784,16.1,Sunday,non
007 SPECTRE,2018-10-14,France 2,Europe,4.027116,18.3,Sunday,non
LES TONTONS FLINGUEURS,2018-01-07,France 2,France,3.951616,15.7,Sunday,oui
MEDECIN DE CAMPAGNE,2018-09-16,France 2,France,3.852024,16.5,Sunday,non
BOOMERANG,2018-02-04,France 2,France,3.719168,13.6,Sunday,non
LE PERE NOEL EST UNE ORDURE,2018-12-16,France 2,France,3.676932,13.9,Sunday,non
LOLO,2018-04-15,France 2,France,3.602944,13.7,Sunday,oui
"MISSION : IMPOSSIBLE, ROGUE NATION",2018-03-18,France 2,Etats-Unis,3.544832,14.9,Sunday,non
BON RETABLISSEMENT,2018-07-09,France 3,France,3.151656,15.2,Monday,oui
