TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
LES GALETTES DE PONT-AVEN,2020-12-13,C8,France,1.210482,5.0,Sunday,non,tt0187044,6.6,1127
TOUCHEZ PAS AU GRISBI,2020-05-03,C8,France,1.1606,4.2,Sunday,non,tt0046451,7.7,8841
LE PETIT MONDE DE DON CAMILLO,2020-09-27,C8,France,1.15284,5.3,Sunday,non,tt0043918,7.6,4975
KINGSMAN : LE CERCLE D'OR,2020-11-02,C8,Europe,1.15284,5.2,Monday,oui,tt4649466,6.7,377802
LE CONTRAT,2020-12-07,C8,Etats-Unis,1.15284,5.1,Monday,non,tt0091828,5.6,38804
CE QUE VEULENT LES FEMMES,2020-04-02,C8,Etats-Unis,1.10257,4.7,Thursday,non,tt0207201,6.5,228100
SANS MOBILE APPARENT,2020-12-20,C8,France,1.095198,4.2,Sunday,oui,tt0069219,6.3,992
HOMEFRONT,2020-11-25,CStar,Etats-Unis,1.095198,4.2,Wednesday,non,tt2312718,6.5,133833
TRUE LIES,2020-10-21,CStar,Etats-Unis,0.922272,4.2,Wednesday,oui,tt0111503,7.3,288119
AGENTS SECRETS,2020-04-09,CStar,France,0.81242,3.0,Thursday,oui,tt0356336,5.4,4865
LES RIVIERES POURPRES 2 : LES ANGES DE L'APOCALYPSE,2020-10-08,CStar,France,0.806988,3.6,Thursday,non,tt0337103,5.9,22054
LA NUIT AU MUSEE 2,2020-05-28,CStar,Etats-Unis,0.749346,3.1,Thursday,non,tt1078912,6.0,218031
SPEED,2020-11-11,CStar,Etats-Unis,0.749346,3.0,Wednesday,non,tt0111257,7.3,402464
LA GRANDE MURAILLE,2020-11-04,CStar,Etats-Unis,0.749346,2.9,Wednesday,non,tt2034800,5.9,151502
BABYLON A.D.,2020-11-18,CStar,France,0.691704,2.8,Wednesday,non,tt0364970,5.5,99151
LA NUIT AU MUSEE,2020-05-21,CStar,Etats-Unis,0.691704,2.8,Thursday,non,tt0477347,6.5,387979
TERMINATOR : GENISYS,2020-09-10,CStar,Etats-Unis,0.634062,2.9,Thursday,non,tt1340138,6.3,297659
ON L'APPELLE TRINITA,2020-07-21,NRJ12,France,1.095198,5.5,Tuesday,oui,tt0067355,7.4,26022
COWBOYS ET ENVAHISSEURS,2020-11-03,NRJ12,Etats-Unis,1.095198,4.3,Tuesday,non,tt0409847,6.0,235848
"SHOOTER, TIREUR D'ELITE",2020-09-01,NRJ12,Etats-Unis,0.922272,4.3,Tuesday,oui,tt0822854,7.1,363135
CONTRE-ENQUETE,2020-10-06,NRJ12,France,0.922272,4.0,Tuesday,non,tt0100442,6.6,7280
JASON BOURNE : L'HERITAGE,2020-03-24,NRJ12,Etats-Unis,0.87045,3.8,Tuesday,non,tt1194173,6.6,320027
ON CONTINUE A L'APPELER TRINITA,2020-07-28,NRJ12,France,0.86463,4.5,Tuesday,oui,tt0068154,7.2,17963
CODE MERCURY,2020-06-09,NRJ12,Etats-Unis,0.86463,3.7,Tuesday,non,tt0120749,6.1,79061
PARKER,2020-01-12,NRJ12,Etats-Unis,0.81242,3.6,Sunday,non,tt1904996,6.2,131673
JAPPELOUP,2020-04-14,NRJ12,France,0.81242,2.9,Tuesday,oui,tt2018079,6.6,1903
ATTRACTION,2020-07-07,NRJ12,Europe,0.806988,3.8,Tuesday,oui,tt4731148,5.6,14576
EN EQUILIBRE,2020-11-06,Chérie 25,France,0.922272,3.3,Friday,non,tt4228816,6.4,828
SUR LA ROUTE DE MADISON,2020-04-16,Chérie 25,Etats-Unis,0.81242,3.4,Thursday,oui,tt0112579,7.6,91479
AVANT L'HIVER,2020-04-27,Chérie 25,France,0.81242,2.9,Monday,non,tt2231630,6.2,2204
DOUBLE JEU,2020-05-21,Chérie 25,Etats-Unis,0.806988,3.3,Thursday,non,tt0150377,6.5,98602
UN SECRET,2020-10-30,Chérie 25,France,0.806988,3.3,Friday,oui,tt0490234,6.8,3362
PEUR PRIMALE,2020-05-28,Chérie 25,Etats-Unis,0.749346,3.5,Thursday,non,tt0117381,7.7,254669
HAUTE VOLTIGE,2020-05-07,Chérie 25,Etats-Unis,0.749346,2.9,Thursday,non,tt0137494,6.3,126000
LE PACIFICATEUR,2020-04-23,Chérie 25,Etats-Unis,0.69636,2.8,Thursday,non,tt0119874,6.0,64170
MISS DAISY ET SON CHAUFFEUR,2020-06-25,Chérie 25,Etats-Unis,0.691704,3.3,Thursday,non,tt0097239,7.3,119670
LE NOUVEAU PROTOCOLE,2020-07-16,Chérie 25,France,0.691704,3.1,Thursday,oui,tt0926763,6.1,1050
LES HUIT SALOPARDS,2020-06-07,Arte,Etats-Unis,2.132754,9.8,Sunday,non,tt3460252,7.8,679143
L'IVRESSE DU POUVOIR,2020-09-20,Arte,France,2.132754,9.4,Sunday,non,tt0463486,6.3,3106
RIEN NE VA PLUS,2020-06-10,Arte,France,2.132754,7.8,Wednesday,non,tt0120018,6.5,3111
UN AIR DE FAMILLE,2020-01-29,Arte,France,2.03105,9.0,Wednesday,non,tt0118015,7.4,5648
LA CHAMBRE BLEUE,2020-03-25,Arte,France,2.03105,6.9,Wednesday,non,tt3230082,6.3,3808
L'HEURE D'ETE,2020-04-22,Arte,France,2.03105,6.9,Wednesday,non,tt0836700,7.1,8311
LES GRANDES GUEULES,2020-12-14,Arte,France,2.01747,8.1,Monday,non,tt0059241,6.9,1163
LES SEPT MERCENAIRES,2020-12-13,Arte,Etats-Unis,2.01747,8.0,Sunday,non,tt2404435,6.9,233955
LA MARIEE ETAIT EN NOIR,2020-10-19,Arte,France,2.01747,7.8,Monday,oui,tt0061955,7.2,10617
LES AFFAMEURS,2020-12-28,Arte,Etats-Unis,1.959828,7.8,Monday,oui,tt0044413,7.2,10289
IBIZA,2021-07-04,France 2,France,5.127646,23.7,Sunday,non,tt3685236,5.2,19077
GREEN BOOK : SUR LES ROUTES DU SUD,2021-02-07,France 2,Etats-Unis,4.669002,19.5,Sunday,oui,tt6966692,8.2,612527
VOYEZ COMME ON DANSE,2021-04-11,France 2,France,4.496076,17.6,Sunday,oui,tt0290916,6.5,2645
LE GOUT DES AUTRES,2021-01-20,France 2,France,4.438434,17.8,Wednesday,non,tt0216787,7.2,10567
3 BILLBOARDS : LES PANNEAUX DE LA VENGEANCE,2021-01-10,France 2,Europe,4.380792,18.0,Sunday,non,tt5027774,8.1,571637
LE PROFESSIONNEL,2021-09-07,France 2,France,4.263436,18.8,Tuesday,non,tt0082949,7.4,17968
UN HOMME PRESSE,2021-03-14,France 2,France,4.150224,16.0,Sunday,non,tt6948326,6.4,1904
DOCTEUR ?,2021-12-12,France 2,France,3.975366,17.5,Sunday,non,tt11013572,6.5,2426
L'EMPEREUR DE PARIS,2021-01-17,France 2,France,3.74673,16.0,Sunday,non,tt7025976,6.3,6325
LES CHATOUILLES,2021-03-17,France 2,France,3.74673,15.1,Wednesday,non,tt7502234,7.2,1836
LES VIEUX FOURNEAUX,2021-12-16,France 3,France,3.226384,14.2,Thursday,non,tt7654890,6.1,972
SANG FROID,2021-12-02,France 3,Europe,2.765472,12.9,Thursday,non,tt5719748,6.2,80684
PAULINE DETECTIVE,2021-08-16,France 3,France,2.650244,12.5,Monday,oui,tt2246909,5.6,487
JACK REACHER,2021-02-04,France 3,Etats-Unis,2.59389,11.2,Thursday,non,tt0790724,7.0,374803
LA FAILLE,2021-02-15,France 3,Etats-Unis,2.536248,10.5,Monday,oui,tt0488120,7.2,224456
APPALOOSA,2021-01-28,France 3,Etats-Unis,2.478606,10.7,Thursday,non,tt0800308,6.7,65764
L'INCROYABLE HISTOIRE DU FACTEUR CHEVAL,2021-04-05,France 3,France,2.478606,9.3,Monday,non,tt7248884,7.1,1525
UN CRIME AU PARADIS,2021-08-02,France 3,France,2.477402,12.0,Monday,oui,tt0245530,6.5,2046
L'HERMINE,2021-11-18,France 3,France,2.477402,11.5,Thursday,non,tt4216908,6.6,2442
AURORE,2021-02-25,France 3,France,2.420964,10.4,Thursday,non,tt0430895,7.3,1720
L'ASCENSION,2021-01-08,France 4,France,0.749346,3.1,Friday,non,tt0075404,8.2,10705
LE MARIAGE DE MON MEILLEUR AMI,2021-02-26,France 4,Etats-Unis,0.518778,2.3,Friday,non,tt0119738,6.4,159321
"TERRA WILLY, PLANETE INCONNUE",2021-04-23,France 4,France,0.461136,1.7,Friday,oui,tt8329148,6.6,2448
HAPPY FEET 2,2021-02-19,France 4,,0.403494,1.7,Friday,oui,tt1402488,5.8,48725
HAPPY FEET,2021-02-12,France 4,Etats-Unis,0.403494,1.6,Friday,oui,tt0366548,6.4,204553
TERRE DES OURS,2021-03-12,France 4,France,0.403494,1.5,Friday,non,tt2705326,7.0,399
ETRE ET AVOIR,2021-03-05,France 4,France,0.345852,1.4,Friday,non,tt0318202,7.8,8519
LE SECRET DE L'ETOILE DU NORD,2021-02-05,France 4,Europe,0.345852,1.4,Friday,non,tt2034761,5.7,1840
CROC-BLANC,2021-04-16,France 4,France,0.345852,1.3,Friday,oui,tt0103247,6.7,23026
CIGOGNES ET COMPAGNIE,2021-03-19,France 4,Etats-Unis,0.28821,1.2,Friday,non,tt4624424,6.8,69163
COUP DE TORCHON,2021-03-29,France 5,France,1.498692,5.9,Monday,non,tt0082206,7.3,6919
BLOW OUT,2021-02-01,France 5,Etats-Unis,1.383408,5.5,Monday,non,tt0082085,7.4,67494
PERIL EN LA DEMEURE,2021-06-07,France 5,France,1.267508,5.4,Monday,non,tt0089860,6.8,1844
CHEVAL DE GUERRE,2021-05-03,France 5,Europe,1.15228,4.7,Monday,oui,tt1568911,7.2,168141
LES CHARIOTS DE FEU,2021-04-26,France 5,Europe,1.095198,4.3,Monday,oui,tt0082158,7.1,67950
ET AU MILIEU COULE UNE RIVIERE,2021-01-11,France 5,Etats-Unis,1.037556,4.1,Monday,non,tt0105265,7.2,67056
37DEG2 LE MATIN,2021-01-04,France 5,France,0.979914,3.9,Monday,oui,tt0090563,7.3,23895
MILOU EN MAI,2021-02-15,France 5,France,0.979914,3.9,Monday,oui,tt0097884,7.2,3495
LES NERFS A VIF,2021-05-10,France 5,Etats-Unis,0.979438,4.0,Monday,non,tt0101540,7.3,223326
MOURIR D'AIMER,2021-03-01,France 5,France,0.922272,3.9,Monday,non,tt1494801,5.4,44
LE SENS DE LA FETE,2021-01-24,TF1,France,7.49346,31.2,Sunday,non,tt5699154,6.9,12471
JUMANJI : BIENVENUE DANS LA JUNGLE,2021-04-04,TF1,Etats-Unis,6.34062,25.1,Sunday,non,tt2283362,7.0,468166
RETOUR CHEZ MA MERE,2021-05-30,TF1,France,6.33754,28.2,Sunday,non,tt5115024,5.8,2396
BIENVENUE CHEZ LES CH'TIS,2021-10-03,TF1,France,6.279926,29.4,Sunday,non,tt1064932,7.1,45885
LES TUCHE 3,2021-06-06,TF1,France,5.934242,26.7,Sunday,non,tt7066382,4.7,1533
LE FLIC DE BELLEVILLE,2021-03-28,TF1,France,5.879484,24.5,Sunday,non,tt6913168,5.0,3344
ANT-MAN ET LA GUEPE,2021-04-18,TF1,Etats-Unis,5.879484,23.3,Sunday,oui,tt5095030,7.0,464413
QU'EST-CE QU ON A FAIT AU BON DIEU ?,2021-11-14,TF1,France,5.819014,25.1,Sunday,non,tt2800240,7.0,46366
MARIE-FRANCINE,2021-07-25,TF1,France,5.7614,28.3,Sunday,oui,tt6081632,5.7,1464
A STAR IS BORN,2021-11-21,TF1,Etats-Unis,5.7614,28.2,Sunday,non,tt1517451,7.6,430526
BLACK PANTHER,2021-04-22,TMC,Etats-Unis,1.786902,8.4,Thursday,oui,tt1825683,7.3,859664
TAXI 2,2021-05-12,TMC,France,1.613192,6.7,Wednesday,non,tt0183869,6.5,60367
ROBIN DES BOIS,2021-12-27,TMC,Europe,1.555578,7.7,Monday,oui,tt0955308,6.6,288365
LUCY,2021-11-29,TMC,France,1.497964,6.4,Monday,non,tt2872732,6.4,548632
ROGUE ONE : A STAR WARS STORY,2021-04-05,TMC,Etats-Unis,1.44105,6.1,Monday,non,tt3748528,7.8,704125
STAR WARS EPISODE 7 : LE REVEIL DE LA FORCE,2021-08-30,TMC,Etats-Unis,1.44035,7.3,Monday,oui,tt2488496,7.8,989898
HARRY POTTER ET LA COUPE DE FEU,2021-12-20,TMC,Europe,1.44035,7.1,Monday,oui,tt0330373,7.7,704101
LES TUCHE 3,2021-10-27,TMC,France,1.44035,6.3,Wednesday,oui,tt7066382,4.7,1533
MECHANIC : RESURRECTION,2021-01-04,TMC,Etats-Unis,1.383408,5.6,Monday,oui,tt3522806,5.7,96571
LES VISITEURS,2021-06-03,TMC,France,1.382736,6.7,Thursday,non,tt0108500,7.0,39016
"MAMAN, J'AI RATE L'AVION",2021-04-14,TFX,Etats-Unis,1.325766,5.2,Wednesday,oui,tt0099785,7.7,684127
HITMAN AND BODYGUARD,2021-06-30,TFX,Europe,1.325122,6.6,Wednesday,non,tt1959563,6.9,252909
"MAMAN, J'AI ENCORE RATE L'AVION",2021-04-21,TFX,Etats-Unis,1.095198,4.4,Wednesday,oui,tt0104431,6.9,421859
LA STRATEGIE ENDER,2021-05-05,TFX,Etats-Unis,1.094666,4.3,Wednesday,non,tt1731141,6.6,258339
MAN OF STEEL,2021-01-12,TFX,,0.979914,4.5,Tuesday,non,tt0770828,7.1,826167
TRUE LIES,2021-04-07,TFX,Etats-Unis,0.979914,4.1,Wednesday,non,tt0111503,7.3,288119
LE GRAND RESTAURANT,2021-05-16,TFX,France,0.979438,4.2,Sunday,non,tt0061728,6.7,6870
LA 5EME VAGUE,2021-03-28,TFX,Etats-Unis,0.922272,3.9,Sunday,non,tt2304933,5.2,119809
BATTLESHIP,2021-11-16,TFX,Etats-Unis,0.921824,4.5,Tuesday,non,tt1440129,5.8,261183
"MAMAN, J'AI RATE L'AVION",2021-12-07,TFX,Etats-Unis,0.921824,3.9,Tuesday,non,tt0099785,7.7,684127
LE JOUR DE GLOIRE,2021-05-07,TF1 Séries Films,France,1.037052,3.9,Friday,non,tt0138539,5.3,240
L'ARME FATALE,2021-03-25,TF1 Séries Films,Etats-Unis,0.86463,3.8,Thursday,non,tt0093409,7.6,283376
SISSI,2021-12-26,TF1 Séries Films,Europe,0.86421,4.3,Sunday,oui,tt0048624,7.0,10389
ELYSIUM,2021-03-18,TF1 Séries Films,Etats-Unis,0.806988,3.3,Thursday,non,tt1535108,6.6,478493
MAD MAX : FURY ROAD,2021-11-21,TF1 Séries Films,autres nationalités,0.806596,3.8,Sunday,non,tt1392190,8.1,1145193
LE PLACARD,2021-10-14,TF1 Séries Films,France,0.806596,3.7,Thursday,non,tt0243493,7.0,18564
JUPITER : LE DESTIN DE L'UNIVERS,2021-04-15,TF1 Séries Films,Europe,0.749346,3.1,Thursday,oui,tt1617661,5.3,197002
INTERSTELLAR,2021-10-21,TF1 Séries Films,Etats-Unis,0.748982,4.1,Thursday,oui,tt0816692,8.7,2238404
LES EVADES,2021-09-16,TF1 Séries Films,Etats-Unis,0.748982,3.7,Thursday,non,tt0111161,9.3,2984330
DANS LA LIGNE DE MIRE,2021-11-11,TF1 Séries Films,Etats-Unis,0.748982,3.6,Thursday,non,tt0107206,7.2,116838
LA REINE DES NEIGES 2,2021-12-20,M6,Etats-Unis,4.32105,17.9,Monday,oui,tt4520988,6.8,202957
BOHEMIAN RHAPSODY,2021-12-01,M6,Europe,4.205822,20.1,Wednesday,non,tt1727824,7.9,612201
"VAIANA, LA LEGENDE DU BOUT DU MONDE",2021-04-04,M6,Etats-Unis,4.03494,15.5,Sunday,non,tt3521164,7.6,402407
LE CHANT DU LOUP,2021-04-15,M6,France,3.977298,17.3,Thursday,oui,tt7458762,6.9,22113
LA BELLE ET LA BETE,2021-12-17,M6,Etats-Unis,3.572068,18.1,Friday,non,tt0101414,8.0,488081
INSAISISSABLES,2021-02-11,M6,Etats-Unis,3.17031,14.2,Thursday,oui,tt1670345,7.2,726206
INSAISISSABLES 2,2021-02-18,M6,Etats-Unis,3.112668,14.0,Thursday,oui,tt3110958,6.4,331408
SEVEN SISTERS,2021-04-08,M6,Europe,2.997384,13.4,Thursday,non,tt1536537,6.8,138169
"OSS 117 : LE CAIRE, NID D'ESPIONS",2021-08-02,M6,France,2.823086,14.1,Monday,oui,tt0464913,7.0,23841
OSS 117 : RIO NE REPOND PLUS,2021-08-09,M6,France,2.707858,13.8,Monday,oui,tt1167660,6.8,16986
LA CHUTE DE LONDRES,2021-01-18,W9,Etats-Unis,2.01747,8.1,Monday,non,tt3300542,5.9,173398
INDIANA JONES ET LE TEMPLE MAUDIT,2021-03-01,W9,Etats-Unis,1.786902,7.9,Monday,non,tt0087469,7.5,546113
LES AVENTURIERS DE L'ARCHE PERDUE,2021-02-22,W9,Etats-Unis,1.72926,7.8,Monday,oui,tt0082971,8.4,1060775
RED,2021-05-03,W9,Etats-Unis,1.72842,7.0,Monday,oui,tt1245526,7.0,329716
RED 2,2021-05-10,W9,Etats-Unis,1.670806,6.9,Monday,non,tt1821694,6.6,183796
INDIANA JONES ET LA DERNIERE CROISADE,2021-03-08,W9,Etats-Unis,1.556334,6.4,Monday,non,tt0097576,8.2,828518
RATATOUILLE,2021-06-29,W9,Etats-Unis,1.555578,7.4,Tuesday,non,tt0382932,8.1,863636
AVENGERS,2021-04-26,W9,Etats-Unis,1.498692,6.3,Monday,oui,tt0848228,8.0,1489579
DIE HARD 4 : RETOUR EN ENFER,2021-09-27,W9,Etats-Unis,1.497964,6.9,Monday,non,tt0337978,7.1,426225
DEADPOOL,2021-01-11,W9,Etats-Unis,1.44105,6.0,Monday,non,tt1431045,8.0,1184074
BENJAMIN GATES ET LE LIVRE DES SECRETS,2021-02-10,6ter,Etats-Unis,0.979914,4.1,Wednesday,oui,tt0465234,6.5,259001
"MISSION : IMPOSSIBLE, PROTOCOLE FANTOME",2021-01-27,6ter,Etats-Unis,0.86463,3.8,Wednesday,non,tt1229238,7.4,537463
BENJAMIN GATES ET LE TRESOR DES TEMPLIERS,2021-02-03,6ter,Etats-Unis,0.806988,3.3,Wednesday,non,tt0368891,6.9,363459
L'AGE DE GLACE III,2021-04-21,6ter,Etats-Unis,0.806988,3.1,Wednesday,oui,tt1080016,6.9,271759
L'AGE DE GLACE 2,2021-04-14,6ter,Etats-Unis,0.806988,3.0,Wednesday,oui,tt0438097,6.8,303809
CENDRILLON,2021-12-26,6ter,Europe,0.806596,3.9,Sunday,oui,tt1661199,6.9,194708
PIRATES DES CARAIBES : JUSQU'AU BOUT DU MONDE,2021-02-24,6ter,Etats-Unis,0.749346,3.6,Wednesday,non,tt0449088,7.1,709926
MISSION : IMPOSSIBLE III,2021-01-20,6ter,Etats-Unis,0.749346,3.1,Wednesday,non,tt0317919,6.9,399038
MATILDA,2021-12-19,6ter,Etats-Unis,0.748982,3.2,Sunday,oui,tt0117008,7.0,182059
LA TOTALE,2021-06-27,6ter,France,0.748982,3.2,Sunday,non,tt0103103,6.2,1882
SHREK LE TROISIEME,2021-04-06,Gulli,Etats-Unis,0.634062,2.3,Tuesday,non,tt0413267,6.1,341343
"SHREK 4, IL ETAIT UNE FIN",2021-04-13,Gulli,Etats-Unis,0.634062,2.2,Tuesday,oui,tt0892791,6.3,231136
PETER ET ELLIOTT LE DRAGON,2021-12-22,Gulli,Etats-Unis,0.57614,2.5,Wednesday,oui,tt2788732,6.7,62523
LE PARC DES MERVEILLES,2021-11-01,Gulli,Etats-Unis,0.57614,2.4,Monday,oui,tt6428676,5.9,12967
UN FLIC A LA MATERNELLE,2021-09-01,Gulli,Etats-Unis,0.57614,2.4,Wednesday,oui,tt0099938,6.2,166325
LES PINGOUINS DE MADAGASCAR,2021-04-20,Gulli,Etats-Unis,0.518778,2.0,Tuesday,oui,tt1911658,6.6,106454
LA GLOIRE DE MON PERE,2021-10-13,Gulli,France,0.518526,2.5,Wednesday,non,tt0099669,7.6,7242
SHREK,2021-10-28,Gulli,Etats-Unis,0.518526,2.4,Thursday,oui,tt0126029,7.9,758473
MINUSCULE : LA VALLEE DES FOURMIS PERDUES,2021-06-22,Gulli,France,0.518526,2.3,Tuesday,non,tt2368672,7.1,9277
MADAGASCAR 2,2021-03-16,Gulli,Etats-Unis,0.461136,1.8,Tuesday,non,tt0479952,6.6,255297
CANICULE,2021-10-13,Canal +,,0.748982,3.8,Wednesday,non,tt5144174,6.8,35844
ADIEU LES CONS,2021-10-15,Canal +,France,0.748982,3.7,Friday,non,tt10196398,6.7,7255
"GREENLAND, LE DERNIER REFUGE",2021-09-24,Canal +,Etats-Unis,0.748982,3.6,Friday,non,tt7737786,6.4,141899
BRAQUAGE EN OR,2021-12-29,Canal +,Etats-Unis,0.748982,3.3,Wednesday,oui,tt4876134,4.5,14272
ANTOINETTE DANS LES CEVENNES,2021-06-01,Canal +,France,0.748982,3.1,Tuesday,non,tt11013434,6.5,4059
LA BELLE EPOQUE,2021-01-01,Canal +,France,0.691704,2.9,Friday,oui,tt9172422,7.4,20639
UNE AFFAIRE DE DETAILS,2021-11-12,Canal +,Etats-Unis,0.691368,3.4,Friday,non,tt10016180,6.3,132462
1917,2021-12-18,Canal +,Etats-Unis,0.633754,3.0,Saturday,oui,tt8579674,8.2,709076
CEUX QUI VEULENT MA MORT,2021-12-03,Canal +,Etats-Unis,0.633754,2.9,Friday,non,tt3215824,6.0,74984
SEULES LES BETES,2021-01-26,Canal +,France,0.57642,2.4,Tuesday,non,tt10409498,7.1,8264
UN AIR DE FAMILLE,2021-01-19,C8,France,1.383408,6.4,Tuesday,non,tt0118015,7.4,5648
DERNIER DOMICILE CONNU,2021-07-04,C8,France,1.325122,6.4,Sunday,non,tt0064225,6.9,1972
L'HERITIER,2021-02-14,C8,France,1.268124,5.6,Sunday,oui,tt27534328,6.8,5295
MARY,2021-07-26,C8,Etats-Unis,1.267508,6.1,Monday,oui,tt4481414,7.6,144990
PENDEZ-LES HAUT ET COURT,2021-10-12,C8,Etats-Unis,1.209894,6.0,Tuesday,non,tt0061747,7.0,44810
LA VACHE ET LE PRISONNIER,2021-04-18,C8,France,1.15284,4.6,Sunday,oui,tt0053403,7.1,1770
LES GEANTS DE L'OUEST,2021-11-02,C8,Etats-Unis,1.094666,5.5,Tuesday,oui,tt0065150,6.6,7805
WORLD WAR Z,2021-02-01,C8,Etats-Unis,1.037556,4.7,Monday,non,tt0816711,7.0,742459
LE TATOUE,2021-04-25,C8,France,1.037556,4.0,Sunday,oui,tt0063674,6.5,3657
LE SOLEIL DES VOYOUS,2021-05-30,C8,France,1.037052,4.8,Sunday,non,tt0061000,6.4,778
MARY,2021-03-08,CStar,Etats-Unis,0.86463,3.3,Monday,non,tt4481414,7.6,144990
WORLD WAR Z,2021-05-26,CStar,Etats-Unis,0.691368,3.0,Wednesday,non,tt0816711,7.0,742459
FORCES SPECIALES,2021-01-06,CStar,France,0.634062,2.6,Wednesday,non,tt1656192,6.3,19758
THE RYAN INITIATIVE,2021-03-10,CStar,Etats-Unis,0.634062,2.6,Wednesday,non,tt1205537,6.2,139760
GREEN ZONE,2021-11-17,CStar,Europe,0.633754,2.8,Wednesday,non,tt0947810,6.8,144420
UNSTOPPABLE,2021-05-19,CStar,Etats-Unis,0.633754,2.5,Wednesday,non,tt0477080,6.8,211607
PROBLEMOS,2021-11-02,CStar,France,0.57614,2.5,Tuesday,oui,tt5796516,6.1,2360
BASIC INSTINCT,2021-03-17,CStar,Etats-Unis,0.518778,2.4,Wednesday,non,tt0103772,7.1,226364
ALIEN : COVENANT,2021-04-07,CStar,Etats-Unis,0.518778,2.2,Wednesday,non,tt2316204,6.4,324467
MES MEILLEURS COPAINS,2021-12-15,CStar,France,0.518526,2.4,Wednesday,non,tt0097871,6.7,1183
WIND RIVER,2021-09-19,NRJ12,Etats-Unis,1.037052,5.0,Sunday,non,tt5362988,7.7,290610
ENNEMI D'ETAT,2021-04-13,NRJ12,Etats-Unis,0.922272,3.8,Tuesday,oui,tt0120660,7.3,264171
JASON BOURNE : L'HERITAGE,2021-11-30,NRJ12,Etats-Unis,0.921824,4.4,Tuesday,non,tt1194173,6.6,320027
THE NOVEMBER MAN,2021-07-01,NRJ12,Etats-Unis,0.921824,4.4,Thursday,non,tt2402157,6.3,71502
LE NOUVEAU PROTOCOLE,2021-07-08,NRJ12,France,0.86421,4.0,Thursday,non,tt0926763,6.1,1050
CODE MERCURY,2021-09-14,NRJ12,Etats-Unis,0.86421,3.6,Tuesday,non,tt0120749,6.1,79061
U.S. MARSHALS,2021-02-09,NRJ12,Etats-Unis,0.749346,3.5,Tuesday,oui,tt0120873,6.6,116450
L'OEIL DU MAL,2021-11-02,NRJ12,Etats-Unis,0.748982,3.5,Tuesday,oui,tt1059786,6.6,197379
OBLIVION,2021-11-23,NRJ12,Etats-Unis,0.748982,3.4,Tuesday,non,tt1483013,7.0,564155
INCASSABLE,2021-05-18,NRJ12,Etats-Unis,0.748982,3.2,Tuesday,non,tt0217869,7.3,452074
APPARENCES,2021-06-03,Chérie 25,Etats-Unis,0.86421,4.0,Thursday,non,tt0161081,6.6,139001
L'AFFAIRE SK1,2021-10-14,Chérie 25,France,0.806596,4.1,Thursday,non,tt3433632,6.6,2882
BOOMERANG,2021-11-19,Chérie 25,France,0.806596,3.8,Friday,non,tt0103859,5.6,32110
A ARMES EGALES,2021-03-04,Chérie 25,Etats-Unis,0.749346,3.6,Thursday,non,tt0119173,6.0,89169
LE GRAND ALIBI,2021-02-19,Chérie 25,France,0.749346,3.1,Friday,oui,tt0042994,7.0,16801
A BOUT PORTANT,2021-10-07,Chérie 25,France,0.748982,3.4,Thursday,non,tt1545759,6.8,14799
JEUX DE POUVOIR,2021-04-08,Chérie 25,Etats-Unis,0.691704,3.1,Thursday,non,tt0473705,7.1,162920
DOUBLE JEU,2021-04-15,Chérie 25,Etats-Unis,0.691704,2.9,Thursday,oui,tt0150377,6.5,98602
"SIX JOURS, SEPT NUITS",2021-06-10,Chérie 25,Etats-Unis,0.691368,3.3,Thursday,non,tt0120828,5.9,84926
LE BONHOMME DE NEIGE,2021-03-18,Chérie 25,Europe,0.634062,2.7,Thursday,non,tt1758810,5.2,74405
TENDRE POULET,2021-01-04,Arte,France,2.075112,7.8,Monday,oui,tt0076808,6.7,1191
AMANDA,2021-04-14,Arte,France,2.01747,7.6,Wednesday,oui,tt0029971,7.0,4435
UNE FEMME DE MENAGE,2021-01-22,Arte,France,1.844544,7.3,Friday,non,tt0291538,6.3,1917
WILL HUNTING,2021-04-26,Arte,Etats-Unis,1.844544,7.1,Monday,oui,tt0119217,8.3,1111859
LA BAULE-LES PINS,2021-01-18,Arte,France,1.786902,6.9,Monday,non,tt0099200,6.2,982
LA HORSE,2021-04-28,Arte,France,1.786902,6.4,Wednesday,oui,tt0064294,6.9,1015
ESPION(S),2021-11-24,Arte,France,1.72842,7.0,Wednesday,non,tt1149592,5.9,1148
THE LOST CITY OF Z,2021-01-31,Arte,Etats-Unis,1.671618,7.2,Sunday,non,tt1212428,6.6,101464
POULET AU VINAIGRE,2021-04-19,Arte,France,1.671618,6.4,Monday,oui,tt0089832,6.5,2297
LE TRAIN,2021-03-28,Arte,France,1.613976,6.8,Sunday,non,tt0059825,7.8,20023
REBELLES,2022-12-11,France 2,France,4.313,18.6,Sunday,non,tt0245238,6.8,22724
LA GRANDE VADROUILLE,2022-04-17,France 2,France,4.244,20.5,Sunday,oui,tt0060474,7.9,20921
PAPI SITTER,2022-02-13,France 2,France,4.041,17.9,Sunday,oui,tt10746876,5.4,399
AU NOM DE LA TERRE,2022-02-23,France 2,France,3.637,15.8,Wednesday,non,tt10545470,6.8,1547
1917,2022-11-13,France 2,Etats-Unis,3.631,17.0,Sunday,non,tt8579674,8.2,709076
