TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
LE PETIT NICOLAS,2011-09-01,M6,France / Belgique,7.61059,30.3,Thursday,oui,tt1264904,7.1,14377
VILAINE,2011-08-04,M6,France,4.449268,21.5,Thursday,oui,tt0120088,5.3,3510
LA BELLE ET LA BETE,2011-12-19,M6,Etats-Unis,4.449268,14.7,Monday,oui,tt0101414,8.0,488081
CARS - QUATRE ROUES,2011-07-21,M6,Etats-Unis,4.390725,19.9,Thursday,oui,tt0317219,7.3,490603
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2011-10-31,M6,Etats-Unis,4.273639,17.0,Monday,oui,tt0367882,6.2,498809
TITANIC,2012-04-15,France 2,Etats-Unis,6.424242,26.7,Sunday,oui,tt0120338,7.9,1319238
NEUILLY SA MERE,2012-02-19,France 2,France,6.129552,21.4,Sunday,oui,tt1349856,5.5,2621
LES TONTONS FLINGUEURS,2012-12-02,France 2,France/Italie/Allemagne,5.422296,20.2,Sunday,non,tt0057591,7.7,6773
LES CHORISTES,2012-03-04,France 2,France/Suisse,5.422296,19.2,Sunday,non,tt0372824,7.8,68659
CAMPING,2012-04-01,France 2,France,5.245482,19.1,Sunday,non,tt0473829,5.1,4012
PIECE MONTEE,2012-09-13,France 3,France,3.772032,14.5,Thursday,non,tt1399677,5.4,787
LE MUR DE L'ATLANTIQUE,2012-08-30,France 3,France/Italie,3.713094,14.8,Thursday,oui,tt0066108,5.8,885
LES RIVIERES POURPRES,2012-09-20,France 3,France,3.477342,14.0,Thursday,non,tt0228786,6.9,67086
LES SOEURS FACHEES,2012-02-16,France 3,France,3.300528,11.7,Thursday,oui,tt0410639,6.4,1902
LE TEMPS DES PORTE-PLUMES,2012-09-06,France 3,France,3.123714,12.4,Thursday,non,tt0391488,6.1,237
SA MERE OU MOI,2012-06-10,France 4,Etats-Unis,1.650264,6.3,Sunday,non,tt0369735,5.6,66723
CROCODILE DUNDEE,2012-08-26,France 4,AU,1.591326,6.9,Sunday,oui,tt0090555,6.6,118699
TITANIC,2012-12-30,France 4,Etats-Unis,1.532388,7.0,Sunday,oui,tt0120338,7.9,1319238
RUSH HOUR 2,2012-04-24,France 4,Etats-Unis,1.532388,5.4,Tuesday,non,tt0266915,6.7,245824
TERMINATOR 2,2012-01-08,France 4,Etats-Unis,1.296636,4.7,Sunday,non,tt0103064,8.6,1211956
THE PLEDGE,2012-05-22,Arte,Etats-Unis,1.709202,6.4,Tuesday,non,tt0237572,6.7,70962
LE CRIME ETAIT PRESQUE PARFAIT,2012-12-30,Arte,Etats-Unis,1.709202,6.5,Sunday,oui,tt0046912,8.2,194775
PEUR SUR LA VILLE,2012-07-02,Arte,France/Italie,1.650264,6.4,Monday,non,tt0073535,6.9,4501
LA FIRME,2012-01-05,Arte,Etats-Unis,1.591326,6.4,Thursday,non,tt0106918,6.9,151785
LE PARRAIN,2012-01-08,Arte,Etats-Unis,1.591326,6.7,Sunday,non,tt0068646,9.2,2082530
L'HOMME DES HAUTES PLAINES,2012-02-19,C8,Etats-Unis,1.47345,5.3,Sunday,oui,tt0068699,7.4,66430
LE TATOUE,2012-12-16,C8,France/Italie,1.237698,4.5,Sunday,non,tt0063674,6.5,3657
LE CLIENT,2012-06-12,C8,Etats-Unis,1.237698,4.8,Tuesday,non,tt0109446,6.7,75526
MILLION DOLLAR BABY,2012-10-07,C8,Etats-Unis,1.17876,4.8,Sunday,non,tt0405159,8.1,736963
LE 13EME GUERRIER,2012-10-08,C8,Etats-Unis,1.17876,4.4,Monday,non,tt0120657,6.6,134661
