TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
PEUR PRIMALE;07/12/2017;Chérie 25;Etats-Unis;0,697344;3
LES FEMMES DE L'OMBRE;31/01/2017;Chérie 25;France;0,58112;2,4
WILL HUNTING;19/09/2017;Chérie 25;Etats-Unis;0,58112;2,7
SOUS SURVEILLANCE;16/02/2017;Chérie 25;Etats-Unis;0,58112;2,6
COPLAND;30/11/2017;Chérie 25;Etats-Unis;0,58112;2,3
GONE BABY GONE;23/11/2017;Chérie 25;Etats-Unis;0,58112;2,4
MEURTRE PARFAIT;27/04/2017;Chérie 25;Etats-Unis;0,58112;2,4
ERIN BROCKOVICH, SEULE CONTRE TOUS;02/11/2017;Chérie 25;Etats-Unis;0,58112;2,5
PLUS JAMAIS;26/01/2017;Chérie 25;Etats-Unis;0,58112;2,3
LE GRAND ALIBI;11/12/2017;Chérie 25;France / Italie;0,58112;2,1
SAFE;04/05/2017;CStar;Etats-Unis;0,929792;3,6
LA BATAILLE DES ARDENNES;26/10/2017;CStar;Etats-Unis;0,813568;3,7
LE CONTRAT;19/10/2017;CStar;Etats-Unis;0,755456;3,2
LE TREIZIEME GUERRIER;21/09/2017;CStar;Etats-Unis;0,755456;3,3
STAR TREK;30/11/2017;CStar;Etats-Unis;0,755456;3
LOCK OUT;11/05/2017;CStar;France;0,755456;2,9
16 BLOCS;09/11/2017;CStar;Etats-Unis;0,697344;2,8
L'AIGLE DE LA NEUVIEME LEGION;02/02/2017;CStar;Royaume-Uni;0,697344;2,8
PINOT SIMPLE FLIC;21/12/2017;CStar;France;0,639232;2,8
IDENTITE SECRETE;16/11/2017;CStar;Etats-Unis;0,639232;2,6
GREMLINS 2;29/10/2017;Gulli;Etats-Unis;0,58112;2,5
GREMLINS;22/10/2017;Gulli;Etats-Unis;0,58112;2,2
LE POLE EXPRESS;24/11/2017;Gulli;Etats-Unis;0,523008;2,8
LE LORAX;31/08/2017;Gulli;Etats-Unis;0,523008;2,1
BEE MOVIE, DROLE D'ABEILLE;17/11/2017;Gulli;Etats-Unis;0,523008;2,7
HOOK;14/02/2017;Gulli;Etats-Unis;0,523008;2,3
LES QUATRE FILLES DU DOCTEUR MARCH;26/12/2017;Gulli;Etats-Unis;0,464896;2
BEETLE JUICE;28/11/2017;Gulli;Etats-Unis;0,464896;1,8
PETER PAN;15/12/2017;Gulli;Etats-Unis;0,464896;2,5
MEGAMIND;20/04/2017;Gulli;Etats-Unis;0,464896;1,8
LE FUGITIF;22/10/2017;TF1 Séries Films;Etats-Unis;0,929792;3,7
THE DESCENDANTS;12/02/2017;TF1 Séries Films;Etats-Unis;0,87168;3,5
L'EXPERT;07/02/2017;TF1 Séries Films;Etats-Unis;0,87168;3,4
LE MONDE PERDU - JURASSIC PARK;22/06/2017;TF1 Séries Films;Etats-Unis;0,813568;3,8
L'OEIL DU MAL;31/01/2017;TF1 Séries Films;Etats-Unis;0,813568;3,4
RETOUR VERS LE FUTUR 2;21/05/2017;TF1 Séries Films;Etats-Unis;0,813568;3,6
VOL 93;14/09/2017;TF1 Séries Films;Royaume-Uni;0,813568;3,5
LE PACTE DES LOUPS;12/03/2017;TF1 Séries Films;France;0,813568;3,7
CHAOS;23/11/2017;TF1 Séries Films;Royaume-Uni;0,813568;3,1
LE COLLECTIONNEUR;05/03/2017;TF1 Séries Films;Etats-Unis;0,813568;3,3
PIEGE EN HAUTE MER;25/04/2017;NRJ12;Etats-Unis;0,929792;3,8
LA FUREUR DE VAINCRE;02/05/2017;NRJ12;Hong Kong;0,929792;3,5
LA FUREUR DU DRAGON;09/05/2017;NRJ12;Hong Kong;0,813568;3,3
CROCODILE DUNDEE 2;16/02/2017;NRJ12;AU;0,813568;3,5
CROCODILE DUNDEE;09/02/2017;NRJ12;AU;0,813568;3,5
TRUE LIES - LE CAMELEON;12/10/2017;NRJ12;Etats-Unis;0,813568;3,9
LES BRIGADES DU TIGRE;01/08/2017;NRJ12;France / Italie;0,813568;4,3
BIG BOSS;16/05/2017;NRJ12;Hong Kong;0,813568;3,4
SOLEIL LEVANT;07/02/2017;NRJ12;Etats-Unis;0,813568;3,3
LES TROIS PROCHAINS JOURS;28/03/2017;NRJ12;Etats-Unis;0,813568;3,3
LA MORT DANS LA PEAU;12/01/2017;TFX;Etats-Unis;1,394688;5,6
47 RONIN;19/02/2017;TFX;Etats-Unis;1,278464;5,1
LA VENGEANCE DANS LA PEAU;19/01/2017;TFX;Royaume-Uni;1,220352;4,7
GLADIATOR;04/05/2017;TFX;Etats-Unis;1,104128;4,8
RETOUR VERS LE FUTUR;21/11/2017;TFX;Etats-Unis;1,104128;4,3
TERMINATOR RENAISSANCE;12/02/2017;TFX;Etats-Unis;1,046016;4,2
LA MEMOIRE DANS LA PEAU;05/01/2017;TFX;Etats-Unis;1,046016;4,1
NEXT;21/05/2017;TFX;Etats-Unis;1,046016;4,3
LE GRAND RESTAURANT;12/12/2017;TFX;France;0,987904;3,9
LES SOUS-DOUES;26/03/2017;TFX;France;0,987904;3,9
LE BAISER MORTEL DU DRAGON;11/06/2017;RMC Story;France;0,697344;3,2
LE TEMOIN DU MAL;09/07/2017;RMC Story;Etats-Unis;0,406784;2,1
LE STRATEGE;12/11/2017;RMC Story;Etats-Unis;0,406784;1,6
LA LIGNE ROUGE;26/03/2017;RMC Story;Etats-Unis;0,348672;1,7
300;24/09/2017;RMC Story;Etats-Unis;0,348672;1,6
DANS LA TOURMENTE;19/02/2017;RMC Story;France;0,348672;1,3
LA COULEUR POURPRE;19/03/2017;RMC Story;Etats-Unis;0,348672;1,5
LE RETOUR DE MARTIN GUERRE;30/07/2017;RMC Story;France;0,348672;1,6
SUNSHINE;13/08/2017;RMC Story;Royaume-Uni;0,29056;1,6
HATCHI;31/12/2017;RMC Story;Etats-Unis;0,29056;1,8
ON A RETROUVE LA 7EME COMPAGNIE;18/05/2017;TMC;France;2,32448;9,5
MAIS OU EST DONC PASSEE LA 7EME COMPAGNIE;11/05/2017;TMC;France / Italie;2,266368;9,2
MEN IN BLACK 3;22/05/2017;TMC;Etats-Unis;2,092032;8,7
LA 7EME COMPAGNIE AU CLAIR DE LUNE;25/05/2017;TMC;France;2,092032;9,6
LA MORT DANS LA PEAU;18/12/2017;TMC;Etats-Unis;1,74336;7,4
BARBECUE;04/05/2017;TMC;France;1,685248;6,8
L'AGENCE TOUS RISQUES;30/01/2017;TMC;Etats-Unis;1,569024;6,4
LES GARDIENS DE LA GALAXIE;30/10/2017;TMC;Etats-Unis;1,510912;6,4
BABYSITTING;20/02/2017;TMC;France;1,510912;5,7
MEN IN BLACK;08/05/2017;TMC;Etats-Unis;1,510912;6
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL;27/11/2017;W9;Etats-Unis;2,208256;8,6
INDIANA JONES ET LA DERNIERE CROISADE;20/11/2017;W9;Etats-Unis;1,801472;7,3
IRON MAN;17/01/2017;W9;Etats-Unis;1,627136;6,3
DIVERGENTE;27/03/2017;W9;Etats-Unis;1,627136;7,2
SISTER ACT;17/04/2017;W9;Etats-Unis;1,4528;5,8
NE LE DIS A PERSONNE;13/02/2017;W9;France;1,4528;6,3
LES AVENTURIERS DE L'ARCHE PERDUE;06/11/2017;W9;Etats-Unis;1,394688;5,4
UNE JOURNEE EN ENFER;25/09/2017;W9;Etats-Unis;1,394688;5,8
SISTER ACT, ACTE 2;24/04/2017;W9;Etats-Unis;1,394688;5,5
PRETTY WOMAN;24/01/2017;W9;Etats-Unis;1,336576;5,3
BIENVENUE CHEZ LES CH'TIS;22/01/2017;TF1;France;8,774912;34,3
LES BRONZES FONT DU SKI;12/02/2017;TF1;France;8,019456;30,6
INTOUCHABLES;14/05/2017;TF1;France;7,961344;32,4
LUCY;26/03/2017;TF1;France;7,961344;31,1
SAN ANDREAS;19/11/2017;TF1;Etats-Unis;6,740992;27,5
SAMBA;19/03/2017;TF1;France;6,159872;25,7
ASTERIX ET OBELIX : MISSION CLEOPATRE;24/10/2017;TF1;France;6,10176;24
SPY;17/12/2017;TF1;Etats-Unis;6,043648;24,3
LES GARDIENS DE LA GALAXIE;30/04/2017;TF1;Etats-Unis;5,869312;23,6
ROBIN DES BOIS;08/01/2017;TF1;Royaume-Uni;5,8112;24,6
PAPA OU MAMAN;05/06/2017;M6;France;4,184064;16,3
ASTERIX : LE DOMAINE DES DIEUX;30/10/2017;M6;France / Belgique;4,125952;15,5
KINGSMAN : SERVICES SECRETS;05/10/2017;M6;Etats-Unis / Royaume-Uni;3,951616;18
INDIANA JONES ET LE TEMPLE MAUDIT;20/02/2017;M6;Etats-Unis;3,719168;15,3
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL;06/03/2017;M6;Etats-Unis;3,661056;16,3
LES AVENTURIERS DE L'ARCHE PERDUE;13/02/2017;M6;Etats-Unis;3,661056;15,5
LE PRENOM;16/01/2017;M6;France;3,661056;14,3
INDIANA JONES ET LA DERNIERE CROISADE;27/02/2017;M6;Etats-Unis;3,544832;15,4
LES VACANCES DU PETIT NICOLAS;29/08/2017;M6;France;3,370496;15,3
TAKEN 3;08/06/2017;M6;France;3,254272;14
RAID DINGUE;29/12/2017;Canal +;France;1,975808;8
RADIN;01/09/2017;Canal +;France;1,278464;5,1
CAMPING 3;05/05/2017;Canal +;France;1,16224;4,3
JACK REACHER : NEVER GO BACK;02/09/2017;Canal +;Etats-Unis;0,987904;4,8
ROGUE ONE : A STAR WARS STORY;22/12/2017;Canal +;Etats-Unis;0,987904;4,3
IL A DEJA TES YEUX;15/12/2017;Canal +;France;0,813568;3,2
L'ASCENSION;27/12/2017;Canal +;France;0,813568;3,4
DEADPOOL;06/01/2017;Canal +;Etats-Unis;0,813568;3,2
TARZAN;12/05/2017;Canal +;Royaume-Uni;0,755456;3
LES SEPT MERCENAIRES;15/09/2017;Canal +;Etats-Unis;0,697344;3
L'ETUDIANTE ET MONSIEUR HENRI;25/02/2018;France 2;France;4,416512;17,2
SKYFALL;21/10/2018;France 2;Europe;4,143844;18,4
CONTAGION;21/01/2018;France 2;Etats-Unis;4,06784;16,1
007 SPECTRE;14/10/2018;France 2;Europe;4,027116;18,3
LES TONTONS FLINGUEURS;07/01/2018;France 2;France;3,951616;15,7
MEDECIN DE CAMPAGNE;16/09/2018;France 2;France;3,852024;16,5
BOOMERANG;04/02/2018;France 2;France;3,719168;13,6
LE PERE NOEL EST UNE ORDURE;16/12/2018;France 2;France;3,676932;13,9
LOLO;15/04/2018;France 2;France;3,602944;13,7
MISSION : IMPOSSIBLE, ROGUE NATION;18/03/2018;France 2;Etats-Unis;3,544832;14,9
BON RETABLISSEMENT;09/07/2018;France 3;France;3,151656;15,2
JACK REACHER;01/02/2018;France 3;Etats-Unis;3,138048;14
LES NEIGES DU KILIMANDJARO;10/05/2018;France 3;France;3,093292;13,6
LE MUR DE L'ATLANTIQUE;11/06/2018;France 3;France;3,034928;13,2
LA RITOURNELLE;01/03/2018;France 3;France;2,789376;11,2
LA PROCHAINE FOIS JE VISERAI LE COEUR;11/01/2018;France 3;France;2,731264;11,1
L'ARMEE DES OMBRES;04/06/2018;France 3;France;2,62638;12,3
36, QUAI DES ORFEVRES;18/01/2018;France 3;France;2,498816;10,3
VERY BAD TRIP;16/07/2018;France 3;Etats-Unis;2,217832;10,6
DANSE AVEC LES LOUPS;27/12/2018;France 3;Etats-Unis;2,217832;11,5
MISSION : IMPOSSIBLE, PROTOCOLE FANTOME;21/03/2018;France 4;Etats-Unis;1,510912;6,3
LA CHEVRE;21/02/2018;France 4;France;1,336576;5,1
LA NUIT AU MUSEE;03/01/2018;France 4;Etats-Unis;1,104128;4,3
LE HOBBIT : UN VOYAGE INATTENDU;27/09/2018;France 4;;1,050552;5,8
THOR;29/11/2018;France 4;Etats-Unis;1,050552;4,4
E.T., L'EXTRATERRESTRE;25/04/2018;France 4;Etats-Unis;0,987904;3,7
LES EVADES;28/01/2018;France 4;Etats-Unis;0,987904;4,2
CAPTAIN AMERICA : FIRST AVENGER;01/04/2018;France 4;Etats-Unis;0,987904;4
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS;03/10/2018;France 4;;0,933824;4,9
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI;04/10/2018;France 4;;0,933824;5,5
UN TAXI POUR TOBROUK;08/10/2018;France 5;France;1,400736;5,7
LE TRAIN SIFFLERA TROIS FOIS;26/11/2018;France 5;Etats-Unis;1,284008;4,7
L'HORLOGER DE SAINT-PAUL;17/09/2018;France 5;France;1,050552;4,4
DOUZE HOMMES EN COLERE;15/10/2018;France 5;Etats-Unis;1,050552;4,3
UNE AFFAIRE DE FEMMES;07/05/2018;France 5;France;0,992188;4,5
POLICE PYTHON 357;12/11/2018;France 5;France;0,992188;4,3
MILLE MILLIARDS DE DOLLARS;29/10/2018;France 5;France;0,992188;4,1
IL ETAIT UNE FOIS EN AMERIQUE;17/12/2018;France 5;Etats-Unis;0,992188;5,5
LES CHOSES DE LA VIE;26/03/2018;France 5;France;0,929792;3,3
LES FELINS;10/09/2018;France 5;France;0,87546;3,6
LA MORT AUX TROUSSES;27/12/2018;Arte;Etats-Unis;1,692556;7,6
PRESUME INNOCENT;09/04/2018;Arte;Etats-Unis;1,685248;6,4
21 NUITS AVEC PATTIE;18/04/2018;Arte;France;1,510912;6,2
L'EVADE D'ALCATRAZ;16/12/2018;Arte;Etats-Unis;1,4591;5,7
LES VOLEURS;22/10/2018;Arte;France;1,4591;5,6
L'HEURE D'ETE;17/01/2018;Arte;France;1,4528;5,6
COUP DE TORCHON;12/02/2018;Arte;France;1,4528;5,4
LES TROIS JOURS DU CONDOR;04/03/2018;Arte;Etats-Unis;1,4528;5,8
RIENS DU TOUT;24/01/2018;Arte;France;1,4528;5,5
ADIEU POULET;10/06/2018;Arte;France;1,400736;5,8
SISTER ACT;04/03/2018;6ter;Etats-Unis;0,987904;4,1
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE;09/12/2018;6ter;Etats-Unis;0,817096;3,4
LE GENDARME EN BALADE;23/08/2018;6ter;France;0,817096;4,3
LES INDESTRUCTIBLES;08/04/2018;6ter;Etats-Unis;0,813568;3,3
SISTER ACT, ACTE 2;11/03/2018;6ter;Etats-Unis;0,813568;3,2
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL;02/12/2018;6ter;Etats-Unis;0,758732;3,4
LE GENDARME SE MARIE;16/08/2018;6ter;France;0,758732;4
JUST MARRIED (OU PRESQUE);04/10/2018;6ter;Etats-Unis;0,700368;3,3
ROBIN DES BOIS, PRINCE DES VOLEURS;25/11/2018;6ter;Europe;0,700368;3,2
LE GENDARME A NEW YORK;09/08/2018;6ter;France;0,700368;3,8
SEVEN;08/01/2018;C8;Etats-Unis;1,4528;6,5
SAN ANDREAS;02/04/2018;C8;Etats-Unis;1,394688;5,9
TERMINATOR : GENISYS;09/04/2018;C8;Etats-Unis;1,220352;5,3
LE DERNIER REMPART;18/01/2018;C8;Etats-Unis;1,220352;5,4
HUNGER GAMES : LA REVOLTE, PARTIE 2;31/05/2018;C8;Etats-Unis;1,16728;5,6
X-MEN : LE COMMENCEMENT;01/03/2018;C8;Etats-Unis;1,16224;5,5
BABY-SITTOR;22/02/2018;C8;Etats-Unis;1,16224;5,1
MARIAGE CHEZ LES BODIN'S;20/11/2018;C8;France;1,108916;5,1
SICARIO;25/06/2018;C8;Etats-Unis;1,108916;5,4
ARRETE-MOI SI TU PEUX;05/03/2018;C8;Etats-Unis;1,104128;5,8
MILLENIUM, LE FILM;24/05/2018;Chérie 25;Europe;0,642004;3,4
L'IVRESSE DU POUVOIR;29/10/2018;Chérie 25;France;0,642004;2,7
APPARITIONS;08/02/2018;Chérie 25;Etats-Unis;0,639232;2,6
THE OTHER MAN;01/11/2018;Chérie 25;Europe;0,58364;2,5
BRAVEHEART;08/11/2018;Chérie 25;Etats-Unis;0,58364;3,1
LE COLLECTIONNEUR;17/05/2018;Chérie 25;Etats-Unis;0,58364;2,5
DOUBLE JEU;01/03/2018;Chérie 25;Etats-Unis;0,58112;2,3
HAUTE VOLTIGE;15/02/2018;Chérie 25;Etats-Unis;0,58112;2,6
PLUS JAMAIS;15/03/2018;Chérie 25;Etats-Unis;0,58112;2,3
LES PLEINS POUVOIRS;05/04/2018;Chérie 25;Etats-Unis;0,58112;2,7
L'IMMORTEL;29/11/2018;CStar;France;0,817096;3,5
IMOGENE MCCARTHERY;03/05/2018;CStar;France;0,758732;3
HORS DE CONTROLE;17/05/2018;CStar;Etats-Unis;0,758732;3,4
JOHNNY ENGLISH, LE RETOUR;22/10/2018;CStar;Europe;0,642004;2,4
TRACERS;08/03/2018;CStar;Etats-Unis;0,639232;2,6
LARA CROFT : TOMB RAIDER;27/09/2018;CStar;Etats-Unis;0,58364;2,6
LE FLIC DE SAN FRANCISCO;24/05/2018;CStar;Etats-Unis;0,58364;2,7
EN TERRITOIRE ENNEMI;22/02/2018;CStar;Etats-Unis;0,58112;2,4
BABY-SITTOR;22/11/2018;CStar;Etats-Unis;0,525276;2,1
STAR TREK;01/11/2018;CStar;Etats-Unis;0,525276;2,6
ALVIN ET LES CHIPMUNKS 3;26/04/2018;Gulli;Etats-Unis;0,813568;3,3
MUNE;30/04/2018;Gulli;France;0,700368;2,6
BEETHOVEN 2;20/11/2018;Gulli;Etats-Unis;0,642004;2,6
PETER PAN;11/12/2018;Gulli;Etats-Unis;0,642004;2,5
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE;22/10/2018;Gulli;Etats-Unis;0,58364;2,3
DOCTEUR DOLITTLE 2;04/12/2018;Gulli;Etats-Unis;0,58364;2,4
DOCTEUR DOLITTLE;27/11/2018;Gulli;Etats-Unis;0,525276;2,1
ARTHUR ET LES MINIMOYS;23/10/2018;Gulli;France;0,525276;2,2
GARFIELD 2;22/02/2018;Gulli;Etats-Unis;0,523008;2,2
LA BELLE AU BOIS DORMANT ET LES 7 NAINS;01/03/2018;Gulli;Europe;0,523008;2
KISS AND KILL;12/06/2018;NRJ12;Etats-Unis;0,817096;3,4
LE PIC DE DANTE;06/11/2018;NRJ12;Etats-Unis;0,817096;3,4
SAHARA;19/06/2018;NRJ12;Europe;0,758732;3,5
LE CODE A CHANGE;18/10/2018;NRJ12;France;0,758732;3,3
MISSION : IMPOSSIBLE;26/06/2018;NRJ12;Etats-Unis;0,758732;3,4
BLITZ;22/11/2018;NRJ12;Europe;0,758732;3,2
LES INCORRUPTIBLES ;02/10/2018;NRJ12;Etats-Unis;0,758732;3,3
MILLENIUM, LE FILM;14/01/2018;NRJ12;Europe;0,755456;3,6
L'ATTAQUE DU METRO 123;13/02/2018;NRJ12;Etats-Unis;0,755456;3
LES TROIS PROCHAINS JOURS;03/04/2018;NRJ12;Etats-Unis;0,755456;3,2
BANCS PUBLICS (VERSAILLES RIVE DROITE);16/12/2018;RMC Story;France;0,525276;2
DETECTIVE DEE 2 : LA LEGENDE DU DRAGON DES MERS;30/12/2018;RMC Story;;0,466912;2,1
DES HOMMES SANS LOI;14/10/2018;RMC Story;Etats-Unis;0,466912;1,9
BLOOD DIAMOND;18/11/2018;RMC Story;Etats-Unis;0,408548;1,7
LE BAISER MORTEL DU DRAGON;16/09/2018;RMC Story;France;0,408548;1,8
L'AIGLE DE LA NEUVIEME LEGION;30/09/2018;RMC Story;Europe;0,408548;1,7
MASTER AND COMMANDER : DE L'AUTRE COTE DU MONDE;07/10/2018;RMC Story;Etats-Unis;0,350184;1,4
LULU, FEMME NUE;02/12/2018;RMC Story;France;0,350184;1,4
POSEIDON;25/11/2018;RMC Story;Etats-Unis;0,350184;1,3
MR. HOLMES;21/10/2018;RMC Story;Europe;0,29182;1,2
L'ARME FATALE 4;05/04/2018;TF1 Séries Films;Etats-Unis;1,220352;5,4
L'ARME FATALE 3;29/03/2018;TF1 Séries Films;Etats-Unis;1,220352;5,3
L'ARME FATALE 2;22/03/2018;TF1 Séries Films;Etats-Unis;0,987904;4,1
L'ARME FATALE;15/03/2018;TF1 Séries Films;Etats-Unis;0,987904;4
LE FUGITIF;15/11/2018;TF1 Séries Films;Etats-Unis;0,933824;4,4
FURY;29/01/2018;TF1 Séries Films;Etats-Unis;0,929792;3,9
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE;22/02/2018;TF1 Séries Films;Etats-Unis;0,929792;3,9
CREANCE DE SANG;05/02/2018;TF1 Séries Films;Etats-Unis;0,87168;3,3
L'EFFACEUR;25/03/2018;TF1 Séries Films;Etats-Unis;0,87168;3,5
ANGES ET DEMONS;22/04/2018;TF1 Séries Films;Etats-Unis;0,87168;4
BIENVENUE A MARLY-GOMONT;30/12/2018;TFX;France;1,225644;5,1
FAST AND FURIOUS 7;30/01/2018;TFX;Etats-Unis;0,987904;4,4
OBLIVION;15/02/2018;TFX;Etats-Unis;0,987904;4,5
ROBIN DES BOIS;25/11/2018;TFX;Europe;0,933824;4
LE PARI;21/10/2018;TFX;France;0,87546;3,4
PALAIS ROYAL !;22/05/2018;TFX;France;0,87546;3,5
GLADIATOR;13/05/2018;TFX;Etats-Unis;0,87546;3,9
JOKER;07/10/2018;TFX;Etats-Unis;0,87546;3,5
FAST AND FURIOUS 5;06/02/2018;TFX;Etats-Unis;0,87168;3,7
VOISINS DU TROISIEME TYPE;08/11/2018;TFX;Etats-Unis;0,817096;3,6
JURASSIC WORLD;26/11/2018;TMC;Etats-Unis;1,809284;7,8
LE TRANSPORTEUR 2;02/04/2018;TMC;France;1,627136;6,3
JURASSIC PARK 3;17/12/2018;TMC;Etats-Unis;1,4591;6
SALT;08/03/2018;TMC;Etats-Unis;1,4528;6,1
HARRY POTTER ET LA COUPE DE FEU;23/04/2018;TMC;Europe;1,4528;7,8
HARRY POTTER ET LE PRISONNIER D'AZKABAN;16/04/2018;TMC;Europe;1,4528;6,3
LE MONDE PERDU;10/12/2018;TMC;Etats-Unis;1,400736;6,2
AVENGERS : L'ERE D'ULTRON;26/04/2018;TMC;Etats-Unis;1,394688;7
EXPENDABLES 3;08/10/2018;TMC;Etats-Unis;1,342372;6,6
STAR WARS EPISODE 7 : LE REVEIL DE LA FORCE;19/11/2018;TMC;Etats-Unis;1,342372;6,4
RED;12/11/2018;W9;Etats-Unis;2,04274;8,7
RED 2;19/11/2018;W9;Etats-Unis;1,926012;7,9
RASTA ROCKETT;01/03/2018;W9;Etats-Unis;1,74336;7,1
KINGSMAN : SERVICES SECRETS;10/06/2018;W9;Europe;1,634192;7,4
DIVERGENTE 3 : AU-DELA DU MUR;29/10/2018;W9;Etats-Unis;1,575828;6,6
LA CHUTE DE LA MAISON BLANCHE;29/01/2018;W9;Etats-Unis;1,510912;6,1
IRON MAN 3;03/12/2018;W9;Etats-Unis;1,4591;6,1
PREMONITIONS;26/03/2018;W9;Etats-Unis;1,4528;5,5
DIVERGENTE 2 : L'INSURRECTION;22/10/2018;W9;Etats-Unis;1,400736;5,6
LE FLIC DE BEVERLY HILLS;02/01/2018;W9;Etats-Unis;1,394688;5,4
QU'EST-CE QU ON A FAIT AU BON DIEU;09/12/2018;TF1;France;8,637872;34
LES TUCHE;04/02/2018;TF1;France;7,670784;28,8
RIEN A DECLARER;11/03/2018;TF1;France;7,147776;28,8
RETOUR CHEZ MA MERE;07/10/2018;TF1;France;6,828588;27,3
LE NOUVEAU STAGIAIRE;25/03/2018;TF1;Etats-Unis;6,508544;27
LE LABYRINTHE;11/02/2018;TF1;Etats-Unis;6,217984;24,7
EYJAFJALLAJOKULL;13/05/2018;TF1;France;6,186584;25,1
LE LABYRINTHE : LA TERRE BRULEE;18/02/2018;TF1;Etats-Unis;6,10176;25,8
LES TUCHE 2;25/11/2018;TF1;France;6,011492;24,2
L'AGE DE GLACE 5;23/12/2018;TF1;Etats-Unis;5,778036;23,6
CENDRILLON;04/01/2018;M6;Europe;4,474624;18,5
A LA POURSUITE DE DEMAIN;01/01/2018;M6;Etats-Unis;4,06784;17,3
ASTERIX : LE DOMAINE DES DIEUX;25/12/2018;M6;France;3,910388;17,8
RED 2;19/03/2018;M6;Etats-Unis;3,48672;14,1
RATATOUILLE;30/04/2018;M6;Etats-Unis;3,385112;13,9
BELLE ET SEBASTIEN;13/02/2018;M6;France;3,370496;13,9
VICE-VERSA;01/04/2018;M6;Etats-Unis;3,370496;13,9
RED;12/03/2018;M6;Etats-Unis;3,138048;12,8
DIE HARD 4 : RETOUR EN ENFER;14/05/2018;M6;Etats-Unis;2,9182;13
BABYSITTING 2;24/04/2018;M6;France;2,9056;11,6
LES TUCHE 3;28/12/2018;Canal +;France;1,75092;7,5
A FOND;01/01/2018;Canal +;France;0,987904;3,8
THOR : RAGNAROK;07/09/2018;Canal +;Etats-Unis;0,933824;4,3
LE ROI ARTHUR : LA LEGENDE D'EXCALIBUR;13/04/2018;Canal +;Europe;0,929792;3,8
ALIBI.COM;19/01/2018;Canal +;France;0,929792;3,7
STAR WARS : LES DERNIERS JEDI;14/12/2018;Canal +;Etats-Unis;0,87546;4,5
LE CRIME DE L'ORIENT-EXPRESS;09/11/2018;Canal +;Europe;0,87546;3,9
KONG : SKULL ISLAND;12/01/2018;Canal +;Etats-Unis;0,87168;3,6
WONDER WOMAN;08/06/2018;Canal +;Europe;0,817096;3,9
DUNKERQUE;29/06/2018;Canal +;Europe;0,700368;3,6
LA GRANDE VADROUILLE;21/04/2019;France 2;France;4,727484;22
GONE GIRL;03/02/2019;France 2;Etats-Unis;4,027116;17,7
IL A DEJA TES YEUX;09/06/2019;France 2;France;3,94604;18,4
NIGHT AND DAY;10/02/2019;France 2;Etats-Unis;3,910388;16
LE CORNIAUD;03/03/2019;France 2;France;3,79366;15,7
JACK REACHER : NEVER GO BACK;24/03/2019;France 2;Etats-Unis;3,618568;15,5
TELLEMENT PROCHES;01/12/2019;France 2;France;3,59786;15
THE REVENANT;10/03/2019;France 2;Etats-Unis;3,50184;16,1
LE PETIT LOCATAIRE;15/09/2019;France 2;France;3,4818;16,4
TELLE MERE, TELLE FILLE;17/11/2019;France 2;France;3,4818;13,9
PIECE MONTEE;25/04/2019;France 3;France;2,9182;12,4
LE CRIME EST NOTRE AFFAIRE;27/06/2019;France 3;France;2,84347;14,5
LA VACHE;17/10/2019;France 3;France;2,84347;12,8
LE JOUR LE PLUS LONG;03/06/2019;France 3;Etats-Unis;2,78544;14,7
JACK REACHER;28/11/2019;France 3;Etats-Unis;2,66938;12,1
UNE FAMILLE A LOUER;02/05/2019;France 3;France;2,61135;10,8
MORT OU VIF;12/08/2019;France 3;Etats-Unis;2,55332;13,7
POTICHE;09/05/2019;France 3;France;2,55332;11
LE MAJORDOME;03/01/2019;France 3;Etats-Unis;2,509652;10,9
LE FILS DE JEAN;19/09/2019;France 3;France;2,49529;11
LE CINQUIEME ELEMENT;24/04/2019;France 4;France;1,400736;5,9
AVANT TOI;06/01/2019;France 4;Europe;1,16728;4,7
DRAGONS 2;20/02/2019;France 4;Etats-Unis;1,108916;4,6
LES MINIONS;30/10/2019;France 4;Etats-Unis;1,04454;4,4
INDEPENDENCE DAY;31/03/2019;France 4;Etats-Unis;0,992188;4,5
MINUSCULE : LA VALLEE DES FOURMIS PERDUES;19/02/2019;France 4;France;0,992188;3,8
PERMIS DE TUER;20/11/2019;France 4;Etats-Unis;0,98651;4,3
TUER N'EST PAS JOUER;13/11/2019;France 4;Europe;0,98651;4,2
INDEPENDENCE DAY;29/10/2019;France 4;Etats-Unis;0,92848;4,1
RIEN QUE POUR VOS YEUX;06/11/2019;France 4;Europe;0,92848;3,9
DELIVRANCE;13/05/2019;France 5;Etats-Unis;1,1606;5
CHARADE;25/03/2019;France 5;Etats-Unis;1,108916;4,4
LA FEMME D'A COTE;20/05/2019;France 5;France;1,10257;4,4
