TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
TAIS-TOI;28/01/2007;TF1;France / Italie;10,59916;39,4
LA RECRUE;21/01/2007;TF1;Etats-Unis;9,80564;38,4
SEUL AU MONDE;25/02/2007;TF1;Etats-Unis;9,74896;40,5
LE DÎNER DE CONS;09/01/2007;TF1;France;9,69228;36,7
ON A RETROUVÉ LA 7E COMPAGNIE;31/07/2007;TF1;France;9,57892;45,3
SISTER ACT;17/06/2007;M6;Etats-Unis;6,2348;26,1
MEN IN BLACK II;10/09/2007;M6;Etats-Unis;5,1012;21,2
MEN IN BLACK ;03/09/2007;M6;Etats-Unis;4,59108;18,1
GARFIELD LE FILM;27/12/2007;M6;Etats-Unis;4,47772;18,2
LE CERVEAU;22/04/2007;M6;France / Italie;4,42104;18,1
CAMPING;26/10/2008;France 2;France;8,24328;31,4
JE VOUS TROUVE TRÈS BEAU;28/09/2008;France 2;France;6,354195;25
CHARLIE ET LA CHOCOLATERIE;28/12/2008;France 2;Royaume-Uni;6,29695;24,2
LES TONTONS FLINGUEURS;06/01/2008;France 2;France / Italie / DE;6,18246;24,1
LES CHORISTES;17/02/2008;France 2;France / CH;5,83899;22
LA FLEUR DU MAL;26/02/2008;France 3;France;4,980315;19,6
SPEED;04/03/2008;France 3;Etats-Unis;4,92307;19,3
MASTER AND COMMANDER, DE L'AUTRE CÔTÉ DU MONDE;01/01/2008;France 3;Etats-Unis;4,636845;19,9
RIEN NE VA PLUS;08/04/2008;France 3;France / CH;4,46511;18,4
LES INCORRUPTIBLES;23/09/2008;France 3;Etats-Unis;4,407865;19,1
LE JOURNAL D'UNE FEMME DE CHAMBRE;27/01/2008;Arte;France / Italie;2,003575;8
LES AVENTURES DE ROBIN DES BOIS;29/12/2008;Arte;Etats-Unis;1,94633;7,6
LA MARIÉE ÉTAIT EN NOIR;28/01/2008;Arte;France / Italie;1,889085;7,7
JEREMIAH JOHNSON;06/07/2008;Arte;Etats-Unis;1,83184;8,1
LE VIEIL HOMME ET L'ENFANT;18/08/2008;Arte;France;1,660105;8,3
LES BRONZÉS 3, AMIS POUR LA VIE;09/09/2008;TF1;France;11,22002;47,4
LES BRONZÉS FONT DU SKI;21/12/2008;TF1;France;10,475835;37
ASTÉRIX ET OBÉLIX CONTRE CÉSAR;29/01/2008;TF1;France / DE / Italie;10,132365;39,7
LA LÉGENDE DE ZORRO;10/11/2008;TF1;Etats-Unis;8,81573;35,3
BENJAMIN GATES ET LE TRÉSOR DES TEMPLIERS;12/02/2008;TF1;Etats-Unis;8,70124;36
INDIANA JONES ET LA DERNIÈRE CROISADE;12/05/2008;M6;Etats-Unis;5,896235;24,4
LES AVENTURIERS DE L'ARCHE PERDUE;28/04/2008;M6;Etats-Unis;5,781745;23,9
INDIANA JONES ET LE TEMPLE MAUDIT;05/05/2008;M6;Etats-Unis;4,92307;20
LES 4 FANTASTIQUES;27/10/2008;M6;Etats-Unis;4,80858;17,4
